pmid,gene1,gene2,sentence,class,details,gene1_char_start,gene1_char_end,gene2_char_start,gene2_char_end
18345030,E2F1,Myc,A role for Myc in facilitating transcription activation by E2F1.,TP,database,59,63,11,14
18345030,E2F1,Myc,We now show that Myc is required to allow the interaction of the E2F1 protein with the E2F gene promoters.,TP,database,65,69,17,20
18391986,YY1,p53,Intact p53 binding sites on the EGFR promoter are not required for activation by YY1.,TP,database,81,84,7,10
18513187,Sp1,HNF4alpha,"Overexpression of HNF4alpha led to a dramatic repression of the promoter activity and, in contrast, the activity was markedly elevated by overexpression of Sp1.",TP,database,156,159,18,27
18566213,p53,p73,Pretreatment of resistant A2780 CIS cells with the histone deacetylase inhibitor trichostatin A overcomes apoptosis resistance to CDDP by restoring both p73 and Bax but not p53 expression.,TP,database,173,176,153,156
18579560,p53,p73,p73 was found to be upregulated by serum starvation and mediate PUMA induction through the p53-binding sites in the PUMA promoter.,TP,database,91,94,0,3
18615329,p53,p63,p63 is a p53 homologue and a marker expressed in replicating keratinocytes.,TP,database,9,12,0,3
18765668,ERalpha,p53,Estrogen receptor (ER) beta or p53 attenuates ERalpha-mediated transcriptional activation on the BRCA2 promoter.,TP,database,46,53,31,34
18801697,p53,p73,Therapeutic prospects for p73 and p63: rising from the shadow of p53.,TP,database,65,68,26,29
18801697,p53,p63,Therapeutic prospects for p73 and p63: rising from the shadow of p53.,TP,database,65,68,34,37
19047897,p53,p63,MGA and carcinomas arising from MGA were typically negative for p63 and positive for S-100 and Ki-67 and occasionally positive for p53.,TP,database,131,134,64,67
19059241,C/EBPalpha,PPARgamma,"CDX1 enhanced the expression of PPARgamma gene, a master transcriptional regulator of intestinal differentiation, at the transcriptional level, via functional interaction with CCAAT/enhancer-binding protein alpha (C/EBPalpha).",TP,database,214,224,32,41
19103865,p53,p63,"BACKGROUND: p63 gene is a p53 homologue that encodes proteins with transactivation, DNA-binding and tetramerisation domains.",TP,database,26,29,12,15
19113914,CREB,SOX9,The action of SOX9 was enhanced by overexpressing CREB.,TP,database,50,54,14,18
19194497,ZEB1,p73,"Employing histological, tissue culture, and molecular biological read-outs, we show that this novel pro-survival response, initiated through the rapid induction of p63, is mediated ultimately by the transcriptional repression of a pro-apoptotic isoform of p73 by ZEB1.",TP,database,263,267,256,259
19202062,c-Myc,p53,"However, it is not clear whether microRNAs (miRNAs) play a role in the p53-mediated posttranscriptional regulation of c-Myc.",TP,database,118,123,71,74
19202062,c-Myc,p53,One mechanism of the p53-mediated c-Myc repression may involve transcriptional regulation.,TP,database,34,39,21,24
19202062,c-Myc,p53,p53 represses c-Myc through induction of the tumor suppressor miR-145.,TP,database,14,19,0,3
19202062,c-Myc,tumor suppressor p53,"The tumor suppressor p53 negatively regulates a number of genes, including the proto-oncogene c-Myc, in addition to activating many other genes.",TP,database,94,99,4,24
19272371,p53,p63,DeltaNp63 antagonizes p53 to regulate mesoderm induction in Xenopus laevis.,TP,database,22,25,6,9
19272371,p53,p63,"Furthermore, we show that mesodermal induction after down-regulation of DeltaNp63 is dependent on p53.",TP,database,98,101,78,81
19320777,c-Fos,TP53,KRAS and TP53 mutations are commonly involved in sarcomagenesis whereby KRAS subsequently activates c-Fos.,TP,database,100,105,9,13
19411072,c-Myc,p53,p53 ablates c-Myc expression via several mechanisms at the transcriptional and posttranscriptional level.,TP,database,12,17,0,3
19461509,p53,p63,"CD117 (c-kit) was positive in 6 of 8 cases (75%), p63 was positive in 7 of 8 cases (88%), p53 was positive in 7 of 8 cases (88%), ranging from <10% to 90%, CD5 was focally positive in 3 of 8 cases (38%), collagen type IV was positive in 4 of 8 cases (50%), and proliferative index, as estimated by Ki67, ranged from <1% to approximately 15%.",TP,database,90,93,50,53
19503094,ERalpha,p53,We also showed that activation of p53 decreased the transcriptional activity of ERalpha by elevating KLF4 expression.,TP,database,80,87,34,37
19570744,CREB,Nurr1,"5'-Deletion analysis, site-directed mutagenesis and luciferase reporter assay demonstrated that Nurr1 expression was induced by I-BOP in a PKA/CREB-dependent manner.",TP,database,143,147,96,101
19584293,c-Jun,p53,"Furthermore, induction of p53 by p38 was dependent on c-Jun down-regulation.",TP,database,54,59,26,29
19603422,E2F1,c-myc,PI3K signaling maintains c-myc expression to regulate transcription of E2F1 in pancreatic cancer cells.,TP,database,71,75,25,30
19603422,E2F1,c-myc,"Together, we demonstrate that PI3K-GSK3-dependent control of c-myc protein expression is connected to the transcription of the E2F1 gene in PDAC cells, leading to S-phase progression of the cell cycle.",TP,database,127,131,61,66
19696787,MYC,p53,p53-independent upregulation of miR-34a during oncogene-induced senescence represses MYC.,TP,database,85,88,0,3
19806017,E2F1,Myc,Myc regulates entry into S phase by stimulating glucose and glutamine metabolism and mitochondrial biogenesis that are coupled to the regulation of E2F1 expression.,TP,database,148,152,0,3
19829080,p53,p63,"p63 is a member of the p53 family involved in skin and limb development, as well as in the homeostasis of mature epidermis.",TP,database,23,26,0,3
19861536,p53,p73,"On the contrary, when the cells are arrested in G(0)-G(1), p73 detaches from the REs and it is replaced by p53, which represses the expression of these genes.",TP,database,107,110,59,62
19912441,Sp1,Myc,E-boxes for Myc/Mad/Max binding showed a higher activity than GC-boxes for Sp1.,TP,database,75,78,12,15
20015865,NFkappaB,p53,"Gene expression profile in a glioma cell line resistant to cell death induced by the chimeric tumor suppressor-1 (CTS-1), a dominant-positive variant of p53--the role of NFkappaB.",TP,database,170,178,153,156
20160513,p53,p73,The p63 and p73 proteins activate the transcription of a number of p53 target genes.,TP,database,67,70,12,15
20160513,p53,p63,The p63 and p73 proteins activate the transcription of a number of p53 target genes.,TP,database,67,70,4,7
20587660,c-Myc,p53,"These results suggest that ascofuranone upregulates p21(WAF1/CIP1) through p53-independent suppression of c-Myc expression, leading to cytostatic G(1) arrest.",TP,database,106,111,75,78
20613985,p53,p63,BACKGROUND: p63 is a member of the p53 transcription factor family.,TP,database,35,38,12,15
20663147,p53,p63,DeltaNp63 transcriptionally regulates ATM to control p53 Serine-15 phosphorylation.,TP,database,53,56,6,9
7758976,c-Jun,Id2A,"Sequences of the 5'-flanking region of the human helix-loop-helix protein-encoding Id2A gene, and promoter activity regulated by serum and c-Jun/AP-1.",TP,binding to regulatory DNA-region,139,144,83,87
7880838,c-myc,TBP,"Since TBP binds in the minor groove, MBP-1 might inhibit c-myc transcription by preventing the formation of a functional preinitiation complex.",TP,binding to regulatory DNA-region,57,62,6,9
11250656,c-myc,HOXB4,HOXB4 binds to the c-my c gene at sites involved in blocking c-myc transcription elongation.,TP,binding to regulatory DNA-region,61,66,0,5
11873516,NF-kappa B,c-Myc,"For example, WR-1065 treatment activates binding of the redox-sensitive transcription factor NF-kappa B to DNA and affects expression of a number of genes, including thymidine kinase, c-myc, and manganese superoxide dismutase.",TP,binding to regulatory DNA-region,93,103,184,189
17409199,GLI1,SOX9,"In silico studies identify a putative binding site within SOX9cre1 for GLI1, a downstream mediator of sonic hedgehog (SHH).",TP,binding to regulatory DNA-region,71,75,58,62
18407260,Hoxd13,Hand2,"We found that Hoxd13 binds invivo, in developing limbs, the loci of Hand2, a gene crucial to limb AP axis patterning, of Meis1 and Meis2, involved in PD patterning, of the Sfrp1, Barx1, and Fbn1 genes, involved in skeletogenesis, and of the Dach1, Bmp2, Bmp4, andEmx2 genes.",TP,binding to regulatory DNA-region,14,20,68,73
18604866,SP1,PRDM1,"Transcription of PRDM1, the master regulator for plasma cell differentiation, depends on an SP1/SP3/EGR-1 GC-box.",TP,binding to regulatory DNA-region,92,95,17,22
18604866,SP3,PRDM1,"Transcription of PRDM1, the master regulator for plasma cell differentiation, depends on an SP1/SP3/EGR-1 GC-box.",TP,binding to regulatory DNA-region,96,99,17,22
19015525,LRH-1,Dax-1,"Here we report the structure of Dax-1 bound to one of its targets, liver receptor homolog 1 (LRH-1).",TP,binding to regulatory DNA-region,93,98,32,37
19623543,Myc,RARbeta,A DNA methylation inhibitor 5-aza-2'-deoxycytidine reversed the epigenetic alteration effect of Myc on both RARbeta and PDLIM4.,TP,binding to regulatory DNA-region,96,99,108,115
19623543,Myc,RARbeta,"METHODS: In this study, a benign prostate epithelial cell line RWPE1 was used as a model to study the epigenetic regulation of Myc on the RARbeta and PDLIM4 promoters.",TP,binding to regulatory DNA-region,127,130,138,145
1545132,c-fos,AP-1,The increase in AP-1-binding activity was accompanied by the marked stimulation of the transcription of c-fos but not that of c-jun.,NN,cooperation/competition in transcription,104,109,16,20
1646392,E2A,myogenin,"Although myogenin alone binds DNA inefficiently, in the presence of the widely expressed HLH proteins E12 and E47 (encoded by the E2A gene), it forms heterooligomers that bind with high affinity to a DNA sequence known as a kappa E-2 site.",NN,cooperation/competition in transcription,130,133,9,17
1646392,E2A,myogenin,Inefficient homooligomerization contributes to the dependence of myogenin on E2A products for efficient DNA binding.,NN,cooperation/competition in transcription,77,80,65,73
1654597,EGR-1,WT1,"In transient transfection assays, the WT1 protein functioned as a repressor of transcription when bound to the EGR-1 site.",NN,cooperation/competition in transcription,111,116,38,41
1708774,c-fos,AP-1,A 23-base pair DNA element containing the overlapping glucocorticoid-responsive element and AP-1 sites can be positively regulated by glucocorticoid receptor in the absence of c-jun/c-fos products.,NN,cooperation/competition in transcription,182,187,92,96
1708774,c-fos,c-jun,A 23-base pair DNA element containing the overlapping glucocorticoid-responsive element and AP-1 sites can be positively regulated by glucocorticoid receptor in the absence of c-jun/c-fos products.,NN,cooperation/competition in transcription,182,187,176,181
1820211,Sp1,TFIID,"First, it demonstrates that heat-treated extracts are not appropriate for examination of the involvement of TFIID in the transcription of Sp1-activated promoters.",NN,cooperation/competition in transcription,138,141,108,113
1908239,c-fos,AP-1,It is concluded that a) the inhibition of transforming growth factor beta autostimulation by HDL3 plus LDL may involve reduced AP-1 activity via a reduction of c-fos expression by the lipoprotein combination and b) the ratio HDL3:LDL might influence the pathogenesis of arteriosclerosis via growth-related events in the arterial wall,NN,cooperation/competition in transcription,160,165,127,131
1909174,SRF,TFIID,"Also of interest was the finding that recombinant human TFIID expressed in bacteria cannot mediate SRF-activated transcription, although it does support basal transcription.",NN,cooperation/competition in transcription,99,102,56,61
1909174,TFIID,SRF,This supports a model in which SRF activates transcription by affecting the conformation of TFIID bound to the promoter.,NN,cooperation/competition in transcription,92,97,31,34
7559627,Sp3,Sp4,"Furthermore, we show that Sp4-mediated transcriptional activation can be repressed by Sp3.",NN,cooperation/competition in transcription,86,89,26,29
7577944,Max,c-Myc,"Their function is mediated by switches in the dimerization partners; c-Myc does not homodimerize in vivo but competes with Mad, another member of the subfamily, to form heterodimers with Max, leading to either activation or repression of transcription.",NN,cooperation/competition in transcription,187,190,69,74
7724524,TAFII250,Sp1,The stimulation of Sp1-mediated transcription by RB in ts13 cells at the nonpermissive temperature could be restored by the introduction of wild-type human TAFII250.,NN,cooperation/competition in transcription,156,164,19,22
7982918,UBF,TBP,Microsequence analysis reveals that the 95-kDa TBP-binding protein is hUBF.,NN,cooperation/competition in transcription,71,74,47,50
8035792,EGR1,DB1,"When DB1 was cotransfected with a Tax expression vector, transcription activity of the IL-3 promoter induced by Tax was significantly increased, while EGR1 and EGR2 were without effect.",NN,cooperation/competition in transcription,151,155,5,8
8065332,Fos,AP-1,The affinity of transcription factors for the AP-1 binding site depends on the redox state of a cysteine residue located close to the DNA-binding region of both Fos and Jun.,NN,cooperation/competition in transcription,161,164,46,50
8065335,c-Fos,TBP,High-affinity binding to TBP requires c-Fos activation modules which cooperate to activate transcription.,NN,cooperation/competition in transcription,38,43,25,28
8065355,E2A,myogenin,Phosphorylation of myogenin at these sites was mediated by the bHLH region of E2A products and was dependent on dimerization but not on DNA binding.,NN,cooperation/competition in transcription,78,81,19,27
8163514,HTF4,TAL1,"Support for this hypothesis was obtained by transient expression analyses where TAL1 was found to inhibit the activation effects produced by E2-5 and HTF4a on a reporter gene construct containing repeated microE2 and microE5 motifs, derived from the immunoglobulin gene enhancer",NN,cooperation/competition in transcription,150,154,80,84
8264594,NF-IL6,Fos,Fos and Jun repress transcription activation by NF-IL6 through association at the basic zipper region.,NN,cooperation/competition in transcription,48,54,0,3
8264594,NF-IL6,Jun,Fos and Jun repress transcription activation by NF-IL6 through association at the basic zipper region.,NN,cooperation/competition in transcription,48,54,8,11
8264594,NF-IL6,AP-1,"Thus, association with AP-1 results in repression of transcription activation by NF-IL6.",NN,cooperation/competition in transcription,81,87,23,27
8394351,RAR,VDR,"In combination with all-trans-retinoic acid, however, vitamin D enhances VDR-RAR heterodimer-mediated gene expression.",NN,cooperation/competition in transcription,77,80,73,76
8423810,AP-1,GATA-1,"Thus, GATA-1 regulates the response of the epsilon-globin gene to enhancers through a specific site in the promoter and requires enhancer AP-1/NF-E2 binding to transduce the enhancer effect on transcription",NN,cooperation/competition in transcription,138,142,6,12
8608166,c-fos,AP-1,"Since FOS and JUN proteins form a transacting activator (AP-1) for expression of collagenase and stromelysin genes, PC may block the synthesis of both enzymes by inhibiting the transcription of c-fos and c-jun",NN,cooperation/competition in transcription,194,199,57,61
8608166,c-fos,JUN,"Since FOS and JUN proteins form a transacting activator (AP-1) for expression of collagenase and stromelysin genes, PC may block the synthesis of both enzymes by inhibiting the transcription of c-fos and c-jun",NN,cooperation/competition in transcription,194,199,14,17
8876223,Wilms tumor,EGR-1,"The EGR-1-stimulated transactivation was inhibited by expression of the Wilms tumor suppressor, a known specific DNA-binding competitor.",NN,cooperation/competition in transcription,72,83,4,9
8985358,c-fos,c-jun,"Since expression of the c-jun/c-fos gene family is tightly regulated during cellular differentiation, defined reorganization of a central viral transcription factor may represent a novel mechanism controlling the transcription of pathogenic HPVs during keratinocyte differentiation and in the progression to cervical cancer",NN,cooperation/competition in transcription,30,35,24,29
9029153,E2A,Id2,Cdk2-dependent phosphorylation of Id2 modulates activity of E2A-related transcription factors.,NN,cooperation/competition in transcription,60,63,34,37
9199306,Sp1,YY1,"In contrast, physical interaction is not necessary for YY1 to repress Sp1- and CREB-mediated transcription.",NN,cooperation/competition in transcription,70,73,55,58
9359698,C/EBPbeta,p53,Antioxidants enhance the cytotoxicity of chemotherapeutic agents in colorectal cancer: a p53-independent induction of p21WAF1/CIP1 via C/EBPbeta.,NN,cooperation/competition in transcription,135,144,89,92
9368006,NF-kappaB,E2F-1,In vitro transcription assay demonstrates that E2F-1 represses NF-kappaB mediated transcription in a cell-free system.,NN,cooperation/competition in transcription,63,72,47,52
9389648,Smad4,Smad2,Receptor-activated Smad2 takes Smad4 into the nucleus where they form a complex with FAST-1 that requires these three components to activate transcription.,NN,cooperation/competition in transcription,31,36,19,24
9566892,Ets-1,MafB,The MafB transcriptional activator plays a pivotal role in regulating lineage-specific gene expression during hematopoiesis by repressing Ets-1-mediated transcription of key erythroid-specific genes in myeloid cells.,NN,cooperation/competition in transcription,138,143,4,8
9575138,HIF-1,p53,Here we demonstrate that p53 represses HIF-1-stimulated transcription.,NN,cooperation/competition in transcription,39,44,25,28
9584164,TFIID,Sp1,Transcriptional activation by NF-kappaB and Sp1 requires both TFIID and the USA fraction.,NN,cooperation/competition in transcription,62,67,44,47
9669667,MYC,MXI1,"MXI1 encodes a basic-helix-loop-helix protein that suppresses the transcriptional activity of the MYC oncoprotein by competing for the common dimerization partner, MAX, and binding to identical DNA sites.",NN,cooperation/competition in transcription,98,101,0,4
9671405,Fos,RARalpha,PMLRARalpha was also found to enhance the transcriptional activity of GAL4/Fos.,NN,cooperation/competition in transcription,75,78,3,11
9702198,Smad4,hFAST-1,The hFAST-1-dependent activation of ARE was completely dependent on endogenous Smad4 and stimulation by a TGF beta-like ligand.,NN,cooperation/competition in transcription,79,84,4,11
9769946,E2F-1,p53,"The Mdm2 protein is believed to be oncogenic by binding and inactivating the p53 and Rb tumor suppressor gene products and by activating the E2F-1/DP-1 transcription factors, thus promoting the G1 to S phase transition.",NN,cooperation/competition in transcription,141,146,77,80
9915796,hnf-3beta,HNF-6,"Like HNF-6, OC-2 stimulates transcription of the hnf-3beta gene in transient transfection experiments, suggesting that OC-2 participates in the network of transcription factors required for liver differentiation and metabolism",NN,cooperation/competition in transcription,49,58,5,10
9973257,c-Fos,AP-1,AP-1 is a dimeric complex of the protooncoproteins c-Jun and c-Fos and directly regulates transcription of genes important for cellular growth.,NN,cooperation/competition in transcription,61,66,0,4
10215868,NFkappaB,IRF-1,Here we report that IRF-1-mediated IFN-beta induction depends on NFkappaB activity.,NN,cooperation/competition in transcription,65,73,20,25
10366751,PAC1,p53,We report here that p53 and Zac induce expression of the PAC1-R gene.,NN,cooperation/competition in transcription,57,61,20,23
10444328,ETS1,KRML,The KRML (MAFB) transcriptional regulator plays a pivotal role in regulating lineage-specific hematopoiesis by repressing ETS1-mediated transcription of erythroid-specific genes in myeloid cells.,NN,cooperation/competition in transcription,122,126,4,8
10444328,ETS1,MAFB,The KRML (MAFB) transcriptional regulator plays a pivotal role in regulating lineage-specific hematopoiesis by repressing ETS1-mediated transcription of erythroid-specific genes in myeloid cells.,NN,cooperation/competition in transcription,122,126,10,14
10469655,Bcl-3,NF-kappaB,"We propose a model that p105 is inducibly degraded, and that its degradation liberates sequestered NF-kappaB subunits, including its processing product p50. p50 homodimers are specifically bound by the transcription activator Bcl-3.",NN,cooperation/competition in transcription,226,231,99,108
10523305,p53,Ref-1,"Finally, we observed that Ref-1 cooperates with a DNA-damaging compound, camptothecin, to stimulate the transcriptional activity of p53.",NN,cooperation/competition in transcription,132,135,26,31
10558888,ETS-1,PPARgamma,"The luciferase assay showed that the activation of PPARgamma suppressed -249 to +330 c-MET promoter activity, driven by cotransfection of ETS-1 expression vector.",NN,cooperation/competition in transcription,138,143,51,60
10619603,E2F-1,p53,The results indicate that p53 differentially regulates the activities of two subclasses (E2F-1/-2/-3 vs. E2F-4/-5) of E2F transcription factors.,NN,cooperation/competition in transcription,89,94,26,29
10744705,p53,WT1,"Several proteins bind to and alter the transcription regulatory properties of the WT1 proteins, including the product of the tumor suppressor gene p53.",NN,cooperation/competition in transcription,147,150,82,85
10886373,Max,c-Myc,"RESULTS: We found that c-Myc directly bound to the N-terminal region of origin recognition complex-1 (ORC1), a region that is responsible for gene silencing, in a state of complex containing other ORC subunits and Max in vivo and in vitro.",NN,cooperation/competition in transcription,214,217,23,28
11044429,Max,c-Myc,METHODS AND RESULTS: OxLDL enhanced c-Myc/Max expression and transcription by cotransfection assay and the nuclear activities of E2F and activator protein-2 by binding shift and supershift in coronary SMCs.,NN,cooperation/competition in transcription,42,45,36,41
11101847,E2F1,p53,Disruption of p73 function by a tumour-derived p53 mutant reduced E2F1-mediated apoptosis.,NN,cooperation/competition in transcription,66,70,47,50
11167015,GATA-2,GATA-1,Levels of GATA-1/GATA-2 transcription factors modulate expression of embryonic and fetal hemoglobins.,NN,cooperation/competition in transcription,17,23,10,16
11371641,Smad2,c-Jun,"Interestingly, c-Jun directly binds to the nuclear transcriptional corepressor TGIF and is required for TGIF-mediated repression of Smad2 transcriptional activity.",NN,cooperation/competition in transcription,132,137,15,20
11454854,TBP,AP-1,"These findings suggest that in macrophages, the p38 MAP kinase regulates AP-1-driven transcription by modulating the activation of TBP",NN,cooperation/competition in transcription,131,134,73,77
11546792,p63,Sp1,"Transient transfection assays show that the EGFR promoter region between -348 and -293, containing two Sp1 sites, is crucial for the repression of the EGFR expression by TAp63gamma.",NN,cooperation/competition in transcription,172,175,103,106
11560779,Egr-1,Sp1,"The results showed that Sp1 plays a positive role for both basal and TPA-activated hMnSOD transcription, whereas overexpression of Egr-1 has a negative role in the basal promoter activity without any effect on TPA-mediated activation of hMnSOD transcription",NN,cooperation/competition in transcription,131,136,24,27
11592817,SF-1,COUP-TF,"COUP-TF and DAX-1 have been shown to negatively regulate the transcriptional activity of SF-1, a steroidogenic cell-specific activator of various steroidogenic cytochrome P450 genes.",NN,cooperation/competition in transcription,89,93,0,7
11683913,Runx2,Msx2,We have then found that the homeobox protein Msx2 is able to repress the transcription activity of Runx2 by interacting with it.,NN,cooperation/competition in transcription,99,104,45,49
11736649,Fos,AP-1,The activator protein 1 (AP-1) transcription factor is composed of heterodimers of the Fos/activating transcription factor (ATF) and Jun subfamilies of basic-region leucine-zipper (B-ZIP) proteins.,NN,cooperation/competition in transcription,87,90,25,29
11766607,c-fos,c-jun,The effects of triptolide on endothelial c-jun/c-fos mRNA expression were investigated by RT-PCR.,NN,cooperation/competition in transcription,47,52,41,46
11857908,SF-1,COUP-TF,"Nuclear receptors in the pathophysiology of endocrine tumors	Nuclear orphan receptors COUP-TF and DAX-1 negatively regulate the transcriptional activity of SF-1, a steroidogenic cell-specific activator of various steroidogenic cytochrome P-450 genes.",NN,cooperation/competition in transcription,156,160,86,93
11889139,GATA-6,NFATc1,"Consistent with this, NFATc1 further potentiated GATA-6-activated Sm-MHC transcription.",NN,cooperation/competition in transcription,49,55,22,28
11912921,AP-2,SP-1,"Whereas SP-1 plays a positive role, which is absolutely essential for transcription from the human MnSOD promoter, AP-2 appears to play a negative role in this process.",NN,cooperation/competition in transcription,115,119,8,12
12032298,REST,BHC,Chromatin-immunoprecipitation experiments demonstrate the recruitment of BHC by the neuronal repressor REST.,NN,cooperation/competition in transcription,103,107,73,76
12176321,HMGB2,YY1,"We show that an element within D4Z4 specifically binds a multiprotein complex consisting of YY1, a known transcriptional repressor, HMGB2, an architectural protein, and nucleolin.",NN,cooperation/competition in transcription,132,137,92,95
12391146,CREB,Oct-1,"Accordingly, Oct-1 also potently enhances transcriptional activation mediated by a Ser133Ala CREB mutant.",NN,cooperation/competition in transcription,93,97,13,18
12391146,CREB,Oct-1,Our observation that Oct-1 potentiates CREB-dependent cyclin D1 transcriptional activity independently of Ser 133 phosphorylation and E1A-sensitive coactivator function offers a new paradigm for the regulation of cyclin D1 induction by proliferative signals,NN,cooperation/competition in transcription,39,43,21,26
12519792,FKHR,HNF-4,These results suggest that insulin regulates the transcriptional activity of HNF-4 via FKHR as a signal-regulated transcriptional inhibitor.,NN,cooperation/competition in transcription,87,91,77,82
12554755,ERalpha,AP-1,"In the presence of estradiol, estrogen receptor-alpha (ERalpha) increases transcription triggered by activator protein-1 (AP-1).",NN,cooperation/competition in transcription,55,62,122,126
12576332,GATA-1,RUNX1,"By contrast, the RUNX1-ETO leukemic fusion protein potently repressed GATA-1-mediated transactivation.",NN,cooperation/competition in transcription,70,76,17,22
12799451,p53,HMGB-1,Here we report that both the C-terminal domain and A-box of HMGB-1 are critical for stimulation of p53-mediated DNA binding to its cognate site.,NN,cooperation/competition in transcription,99,102,60,66
12799451,p53,HMGB-1,"In conclusion, these results elucidate the role of acidic C-terminal domain and A-box of HMGB-1 in p53-mediated transcriptional activation and its further downstream effect.",NN,cooperation/competition in transcription,99,102,89,95
12799451,p53,HMGB-1,The acidic C-terminal domain and A-box of HMGB-1 regulates p53-mediated transcription.,NN,cooperation/competition in transcription,59,62,42,48
12799451,p53,High Mobility Group protein B-1,"The architectural DNA- binding protein, High Mobility Group protein B-1 is a unique activator of p53.",NN,cooperation/competition in transcription,97,100,40,71
12799773,AP-1,AhR,These results suggest that AhR can stimulate AP-1 expression resulting in inhibition of the binding of AR to ARE in the transcription regulatory region of target genes such as PSA.,NN,cooperation/competition in transcription,45,49,27,30
12843208,PPAR,MyoD,"Conversely, histone deacetylase-1 blunts MyoD-dependent expression of the UCP3 promoter and reduces PPAR-dependent responsiveness.",NN,cooperation/competition in transcription,100,104,41,45
12914524,ERRalpha,PPARalpha,"At the cellular level, transcriptional activation driven by the PPARalpha/RXRalpha complex was counteracted by the expression of ERRalpha in HeLa cells.",NN,cooperation/competition in transcription,129,137,64,73
12917425,Smad3,YB-1,"Altogether, the results provide a novel insight into the mechanism by which IFN-gamma/YB-1 counteracts TGF-beta/Smad3.",NN,cooperation/competition in transcription,112,117,86,90
12930890,Smad3,Smad2,"In contrast, Smad2 and ERK predominantly transmodulated regulation of both immediate-early and intermediate genes by TGF-beta/Smad3.",NN,cooperation/competition in transcription,126,131,13,18
12952978,Id,basic helix-loop-helix transcription factor,Id proteins negatively regulate basic helix-loop-helix transcription factor function by disrupting subnuclear compartmentalization.,NN,cooperation/competition in transcription,0,2,32,75
12971829,Ets1,AML-1,"Some transcription factors, such as AML-1, regulate Ets1 by targeting its autoinhibitory module.",NN,cooperation/competition in transcription,52,56,36,41
14512028,Phox2a,HAND2,Our data suggest that HAND2 regulates cell type-specific expression of norepinephrine in concert with Phox2a by a novel mechanism,NN,cooperation/competition in transcription,102,108,22,27
14512028,Phox2a,HAND2,"Using transient transfection of P19 or NT-2 cells, HAND2 is shown to synergistically enhance Phox2a-driven transcriptional activity at the DBH promoter, an effect that is enhanced by cAMP.",NN,cooperation/competition in transcription,93,99,51,56
14586398,ets-1,p53,An important implication of our findings is that the loss of p53-mediated negative control over ets-1-dependent transcription may lead to the acquisition of an invasive phenotype in tumor cells,NN,cooperation/competition in transcription,96,101,61,64
14586398,ets-1,Tumor suppressor p53,Tumor suppressor p53 inhibits transcriptional activation of invasion gene thromboxane synthase mediated by the proto-oncogenic factor ets-1.,NN,cooperation/competition in transcription,134,139,0,20
14613485,Sp1,B-Myb,B-Myb acts as a repressor of human COL1A1 collagen gene expression by interacting with Sp1 and CBF factors in scleroderma fibroblasts.,NN,cooperation/competition in transcription,87,90,0,5
14613485,Sp1,B-Myb,"However, we found that B-Myb decreases Sp1 (specificity protein 1) and CBF (CCAAT-binding factor) binding for their specific sites localized in the 174 bp COL1A1 proximal promoter.",NN,cooperation/competition in transcription,39,42,23,28
14630918,ATF4,CHOP,Induction of CHOP expression by amino acid limitation requires both ATF4 expression and ATF2 phosphorylation.,NN,cooperation/competition in transcription,68,72,13,17
14715251,STAT3,ATBF1,We present here experimental evidence that ATBF1 is a new regulatory factor for STAT3-mediated signal transduction through its interaction with PIAS3.,NN,cooperation/competition in transcription,80,85,43,48
15004518,E2F-1,p53,"Further, p53 appears to mediate TGF-beta1-induced apoptosis downstream of the pRb/E2F-1 pathway",NN,cooperation/competition in transcription,82,87,9,12
15064740,Ets-2,myb,"These results suggest that the myb gene family can be differentially modulated by Ets-2, and that the C-terminus is the domain that regulates this activity.",NN,cooperation/competition in transcription,82,87,31,34
15081420,p73,HSF1,Regulation of HSF1-responsive gene expression by N-terminal truncated form of p73alpha.,NN,cooperation/competition in transcription,78,81,14,18
15087451,TFIID,c-Jun,"Interestingly, the isolated basic leucine zipper domain of c-Jun was able to derepress TFIID-directed basal transcription in vitro.",NN,cooperation/competition in transcription,87,92,59,64
15111621,AHR,p53,"Here, we show that repression of p16(INK4a) and p53 transcriptional activity by dioxin absolutely requires the AHR and is accompanied by promoter methylation.",NN,cooperation/competition in transcription,111,114,48,51
15156182,c-Fos,AML1,"Lastly, AML1/EVI-1 enhances AP-1 activity by activating the c-Fos promoter depending on the second zinc-finger domain of EVI-1, and promotes cell proliferation.",NN,cooperation/competition in transcription,60,65,8,12
15385533,ATF4,ATF3,The data suggest that ATF3-FL and C/EBPbeta act as transcriptional suppressors for the ASNS gene to counterbalance the transcription rate activated by ATF4 following amino acid deprivation,NN,cooperation/competition in transcription,151,155,22,26
15907486,Elf-1,Sp1,Sp1-dependent regulation of Myeloid Elf-1 like factor in human epithelial cells.,NN,cooperation/competition in transcription,36,41,0,3
15928669,TCF4,HOXB13,"In prostate cancers, HOXB13 negatively regulates beta-catenin/TCF4-mediated transactivation and subsequently inhibits cell growth.",NN,cooperation/competition in transcription,62,66,21,27
15949416,Ets1,c-Jun,"CONCLUSION: The results suggest that transcription factor AP-1 and Ets play an crucial role in activation of MMP-9 transcription induced by LMP1, and cross-talk between c-Jun/Ets1 is involved in expression of MMP-9 mediated by LMP1",NN,cooperation/competition in transcription,175,179,169,174
15970589,CREB2,MSX2,This MSX2 repression function can be counteracted by overexpression of transcription factors CREB2 and RAP74.,NN,cooperation/competition in transcription,93,98,5,9
