Class_ID1,Entrez_Gene_ID1,Species1,TF_GO_codes_molecular_function1,TF_GO_codes_biological_process1,Class_ID2,Entrez_Gene_ID2,Species2,TF_GO_codes_molecular_function2,TF_GO_codes_biological_process2,PMID,Gene_mention1,Gene_mention2,Sentence,prediction,pair_id,num_entities,num_unique_entities,all_mentions,unique_mentions,feedback_PD
1.2.8.0.1,3397,9606,GO:0016564,GO:0010621|GO:0016481|GO:0043433,1.2.8.0.2,3398,9606,,GO:0016481|GO:0043433,7622574,Id,Id2,"The Id2 gene is one of several ""Id-like"" genes which encode helix-loop-helix proteins which dimerize with basic helix-loop-helix proteins and inhibit binding to the DNA enhancer element known as an E box.",0.78,PMID.dPMID7622574.s6.p0,2,2,Id2|Id,Id|Id2,
1.2.8.0.1,3397,9606,GO:0016564,GO:0010621|GO:0016481|GO:0043433,1.2.8.0.2,3398,9606,,GO:0016481|GO:0043433,11751402,Id1,Id2,"Expression of Id1 and to a lesser extent of Id2 was correlated with mitotic index (P = 0.005 for Id1; P = 0.042 for Id2) in human adenocarcinomas, and expression of all three Id proteins was correlated with p53 immunoreactivity (a marker of mutational 'inactivation' of p53 function; P = 0.002 for Id1; P = 0.006 for Id2; P = 0.016 for Id3).",0.25,PMID.dPMID11751402.s6.p22,10,4,Id1|Id2|Id1|Id2|Id|p53|p53|Id1|Id2|Id3,Id|Id1|Id2|Id3|p53,
1.2.8.0.1,3397,9606,GO:0016564,GO:0010621|GO:0016481|GO:0043433,1.2.8.0.3,3399,9606,GO:0016564,GO:0016481|GO:0043433,11751402,Id1,Id3,"In a series of 34 cases of primary human colorectal adenocarcinoma, immunoreactivity for Id1, Id2, and Id3 was found to be significantly elevated in tumor compared with normal mucosa (P = 0.001 for Id1 and Id2; P = 0.002 for Id3).",0.18,PMID.dPMID11751402.s8.p5,6,3,Id1|Id2|Id3|Id1|Id2|Id3,Id1|Id2|Id3,
1.2.8.0.1,3397,9606,GO:0016564,GO:0010621|GO:0016481|GO:0043433,7.1.1.1.1,4086,9606,,,18436795,Id,Smad1,"Taken together, these findings indicate an important interaction between ERK1/2 and Smad1/5 in the regulation of Id genes.",0.99,PMID.dPMID18436795.s2.p2,3,3,ERK1|Smad1|Id,ERK1|Id|Smad1,
1.2.8.0.1,3397,9606,GO:0016564,GO:0010621|GO:0016481|GO:0043433,7.1.1.1.1,4086,9606,,,18436795,Id,Smad1,We provide evidence for an important interaction between Smad1/5 and ERK1/2 signaling in the regulation of Id gene expression.,0.47,PMID.dPMID18436795.s8.p1,3,3,Smad1|ERK1|Id,ERK1|Id|Smad1,
1.2.8.0.1,3397,9606,GO:0016564,GO:0010621|GO:0016481|GO:0043433,1.2.6.5.1,4609,9606,GO:0016563,GO:0006357|GO:0045941,15489884,Id1,c-Myc,"Inhibition of c-Myc function by siRNA, antisense oligonucleotides or a dominant repressor resulted in downregulation of Id1, while ectopic expression of c-Myc resulted in rapid induction of Id1, suggesting that Id1 may be downstream of c-Myc.",0.38,PMID.dPMID15489884.s1.p5,6,2,c-Myc|Id1|c-Myc|Id1|Id1|c-Myc,c-Myc|Id1,
1.2.8.0.1,3397,9606,GO:0016564,GO:0010621|GO:0016481|GO:0043433,1.2.2.1.1,4654,9606,,GO:0006357|GO:0010552,20235117,Id1,MyoD,Affinity of synthetic peptide fragments of MyoD for Id1 protein and their biological effects in several cancer cells.,0.36,PMID.dPMID20235117.s12.p0,2,2,MyoD|Id1,Id1|MyoD,
1.2.8.0.1,3397,9606,GO:0016564,GO:0010621|GO:0016481|GO:0043433,1.2.2.1.1,4654,9606,,GO:0006357|GO:0010552,15163661,Id1,MyoD,These results thus demonstrate that in vivo MyoD modulates the rate of Id1 degradation and suggest a dynamic interplay of these factors.,0.10,PMID.dPMID15163661.s0.p0,2,2,MyoD|Id1,Id1|MyoD,
1.2.8.0.1,3397,9606,GO:0016564,GO:0010621|GO:0016481|GO:0043433,1.2.2.1.1,4654,9606,,GO:0006357|GO:0010552,18296633,Id1,MyoD,"Here, we demonstrate that, in differentiated myotubes, glucocorticoid, via the glucocorticoid receptor, selectively induces a decrease in protein abundance of MyoD, a master switch for muscle development and regeneration, but not that of its negative regulator Id1.",0.01,PMID.dPMID18296633.s5.p0,2,2,MyoD|Id1,Id1|MyoD,
1.2.8.0.1,3397,9606,GO:0016564,GO:0010621|GO:0016481|GO:0043433,1.2.3.4.1,4760,9606,GO:0003702,GO:0045944,12526101,Id,BETA2,Inhibition of BETA2/NeuroD by Id2.,0.38,PMID.dPMID12526101.s10.p1,3,2,BETA2|NeuroD|Id,BETA2|Id|NeuroD,
1.2.8.0.1,3397,9606,GO:0016564,GO:0010621|GO:0016481|GO:0043433,1.2.3.4.1,4760,9606,GO:0003702,GO:0045944,12526101,Id,NeuroD,Inhibition of BETA2/NeuroD by Id2.,0.38,PMID.dPMID12526101.s10.p2,3,2,BETA2|NeuroD|Id,BETA2|Id|NeuroD,
1.2.8.0.1,3397,9606,GO:0016564,GO:0010621|GO:0016481|GO:0043433,1.2.3.1.4,4807,9606,,,11896613,Id-1,helix-loop-helix protein,"The helix-loop-helix protein Id-1 is a dominant negative regulator of basic helix-loop-helix transcription factors, and plays a key role in the control of breast epithelial cell growth, invasion and differentiation.",0.91,PMID.dPMID11896613.s6.p0,2,2,helix-loop-helix protein|Id-1,helix-loop-helix protein|Id-1,
1.2.8.0.1,3397,9606,GO:0016564,GO:0010621|GO:0016481|GO:0043433,1.2.3.1.4,4807,9606,,,10908559,Id-1,helix-loop-helix protein,"Recently it was reported that forced overexpression of the helix-loop-helix protein Id-1 was capable of immortalizing keratinocytes, secondary to activation of telomerase activity and suppression of p16/Rb-mediated growth arrest pathways.",0.43,PMID.dPMID10908559.s5.p0,4,4,helix-loop-helix protein|Id-1|p16|Rb,helix-loop-helix protein|Id-1|p16|Rb,
1.2.8.0.1,3397,9606,GO:0016564,GO:0010621|GO:0016481|GO:0043433,1.2.3.1.4,4807,9606,,,9070860,Id-1,helix-loop-helix protein,The helix-loop-helix protein Id-1 regulates growth and differentiation in many mammalian cells.,0.42,PMID.dPMID9070860.s7.p0,2,2,helix-loop-helix protein|Id-1,helix-loop-helix protein|Id-1,
1.2.8.0.1,3397,9606,GO:0016564,GO:0010621|GO:0016481|GO:0043433,1.2.3.1.4,4807,9606,,,8934878,Id-1,helix-loop-helix protein,The helix-loop-helix protein Id-1 and a retinoblastoma protein binding mutant of SV40 T antigen synergize to reactivate DNA synthesis in senescent human fibroblasts.,0.38,PMID.dPMID8934878.s14.p0,3,3,helix-loop-helix protein|Id-1|retinoblastoma protein binding,helix-loop-helix protein|Id-1|retinoblastoma protein binding,
1.2.8.0.1,3397,9606,GO:0016564,GO:0010621|GO:0016481|GO:0043433,1.2.3.1.4,4807,9606,,,15489884,Id1,helix-loop-helix protein,The helix-loop-helix protein Id1 has been implicated in regulating mammary epithelial cell proliferation and differentiation but the underlying molecular mechanisms are not well characterized.,0.27,PMID.dPMID15489884.s6.p0,2,2,helix-loop-helix protein|Id1,helix-loop-helix protein|Id1,
1.2.8.0.1,3397,9606,GO:0016564,GO:0010621|GO:0016481|GO:0043433,1.2.3.1.4,4807,9606,,,10728695,Id-1,helix-loop-helix protein,"The helix-loop-helix protein Id-1 inhibits the activity of basic helix-loop-helix transcription factors, and is an important regulator of cell growth and tissue-specific differentiation.",0.24,PMID.dPMID10728695.s10.p0,2,2,helix-loop-helix protein|Id-1,helix-loop-helix protein|Id-1,
1.2.8.0.1,3397,9606,GO:0016564,GO:0010621|GO:0016481|GO:0043433,1.2.3.1.4,4807,9606,,,12016143,Id-1,helix-loop-helix protein,It has been suggested that the helix-loop-helix protein Id-1 plays an important role in tumourigenesis in certain types of human cancer.,0.10,PMID.dPMID12016143.s7.p0,2,2,helix-loop-helix protein|Id-1,helix-loop-helix protein|Id-1,
1.2.8.0.1,3397,9606,GO:0016564,GO:0010621|GO:0016481|GO:0043433,1.2.3.1.4,4807,9606,,,12466969,Id-1,helix-loop-helix protein,The helix-loop-helix protein Id-1 has been suggested to play a positive role in cell proliferation and tumorigenesis of many types of human cancers.,0.09,PMID.dPMID12466969.s6.p0,2,2,helix-loop-helix protein|Id-1,helix-loop-helix protein|Id-1,
1.2.8.0.1,3397,9606,GO:0016564,GO:0010621|GO:0016481|GO:0043433,1.2.3.1.4,4807,9606,,,14755252,ID1,helix-loop-helix protein,The helix-loop-helix protein ID1 localizes to centrosomes and rapidly induces abnormal centrosome numbers.,0.09,PMID.dPMID14755252.s7.p0,2,2,helix-loop-helix protein|ID1,helix-loop-helix protein|ID1,
1.2.8.0.1,3397,9606,GO:0016564,GO:0010621|GO:0016481|GO:0043433,2.3.1.0.2,6667,9606,GO:0003702|GO:0016563,GO:0006355|GO:0043923|GO:0045817|GO:0045893|GO:0045944,17490644,Id-1,Sp1,"Small interfering RNA directed against Sp1 reduced Id-1 expression and the upregulation of the promoter, indicating that Sp1 is required for Id-1 induction in E47- and Snail-expressing cells.",1.02,PMID.dPMID17490644.s1.p0,4,2,Sp1|Id-1|Sp1|Id-1,Id-1|Sp1,
1.2.8.0.1,3397,9606,GO:0016564,GO:0010621|GO:0016481|GO:0043433,2.3.1.0.2,6667,9606,GO:0003702|GO:0016563,GO:0006355|GO:0043923|GO:0045817|GO:0045893|GO:0045944,17490644,Id-1,Sp1,"Small interfering RNA directed against Sp1 reduced Id-1 expression and the upregulation of the promoter, indicating that Sp1 is required for Id-1 induction in E47- and Snail-expressing cells.",0.23,PMID.dPMID17490644.s1.p5,4,2,Sp1|Id-1|Sp1|Id-1,Id-1|Sp1,
1.2.8.0.1,3397,9606,GO:0016564,GO:0010621|GO:0016481|GO:0043433,6.2.1.0.5,6776,9606,,GO:0006357,12574125,Id-1,STAT5,STAT5-induced Id-1 transcription involves recruitment of HDAC1 and deacetylation of C/EBPbeta.,0.39,PMID.dPMID12574125.s6.p0,4,4,STAT5|Id-1|HDAC1|C/EBPbeta,C/EBPbeta|HDAC1|Id-1|STAT5,
1.2.8.0.1,3397,9606,GO:0016564,GO:0010621|GO:0016481|GO:0043433,6.3.1.0.1,7157,9606,GO:0016563|GO:0016564|GO:0016566,GO:0000122|GO:0006355|GO:0010552|GO:0010553|GO:0045941|GO:0045944,16037992,Id-1,p53,p53GOF-mediated regulation of Id-1 expression was validated by RT-PCR and dual-luciferase reporter assays.,2.50,PMID.dPMID16037992.s7.p0,2,2,p53|Id-1,Id-1|p53,
1.2.8.0.1,3397,9606,GO:0016564,GO:0010621|GO:0016481|GO:0043433,6.3.1.0.1,7157,9606,GO:0016563|GO:0016564|GO:0016566,GO:0000122|GO:0006355|GO:0010552|GO:0010553|GO:0045941|GO:0045944,16037992,Id-1,p53,"To begin validating these genes as effectors of the p53 mutants, we evaluated one of the overexpressed genes, Id-1.",1.14,PMID.dPMID16037992.s4.p0,2,2,p53|Id-1,Id-1|p53,
1.2.8.0.1,3397,9606,GO:0016564,GO:0010621|GO:0016481|GO:0043433,6.3.1.0.1,7157,9606,GO:0016563|GO:0016564|GO:0016566,GO:0000122|GO:0006355|GO:0010552|GO:0010553|GO:0045941|GO:0045944,19079342,Id-1,p53,"In promoter assay with serial deletion and chromatin immunoprecipitation assay, the binding of p53 to the PTEN promoter was reduced by Id-1, suggesting that Id-1 regulates PTEN transcription through its p53 modulation.",0.49,PMID.dPMID19079342.s4.p0,4,2,p53|Id-1|Id-1|p53,Id-1|p53,
1.2.8.0.1,3397,9606,GO:0016564,GO:0010621|GO:0016481|GO:0043433,6.3.1.0.1,7157,9606,GO:0016563|GO:0016564|GO:0016566,GO:0000122|GO:0006355|GO:0010552|GO:0010553|GO:0045941|GO:0045944,18556654,ID1,p53 tumor suppressor,"Although the biological functions of the ID1 oncogene and the p53 tumor suppressor have been intensively investigated, little is known about the upstream regulators of ID1 and the cross-talk between ID1 and p53.",0.38,PMID.dPMID18556654.s7.p2,5,2,ID1|p53 tumor suppressor|ID1|ID1|p53,ID1|p53|p53 tumor suppressor,
1.2.8.0.1,3397,9606,GO:0016564,GO:0010621|GO:0016481|GO:0043433,6.3.1.0.1,7157,9606,GO:0016563|GO:0016564|GO:0016566,GO:0000122|GO:0006355|GO:0010552|GO:0010553|GO:0045941|GO:0045944,19079342,Id-1,p53,"In promoter assay with serial deletion and chromatin immunoprecipitation assay, the binding of p53 to the PTEN promoter was reduced by Id-1, suggesting that Id-1 regulates PTEN transcription through its p53 modulation.",0.06,PMID.dPMID19079342.s4.p1,4,2,p53|Id-1|Id-1|p53,Id-1|p53,
1.2.8.0.1,3397,9606,GO:0016564,GO:0010621|GO:0016481|GO:0043433,2.1.2.4.1,7421,9606,,GO:0010553|GO:0016481|GO:0034339,19098224,ID1,VDR,"Notably, SMRT mutants defective in the VDR interaction were also defective in the repression of endogenous VDR-target genes, indicating that the SMRT corepressor is directly involved in the VDR-mediated repression in vivo via an ID1-specific interaction with the VDR",0.20,PMID.dPMID19098224.s0.p12,7,3,SMRT|VDR|VDR|SMRT|VDR|ID1|VDR,ID1|SMRT|VDR,
1.2.8.0.1,3397,9606,GO:0016564,GO:0010621|GO:0016481|GO:0043433,2.1.2.4.1,7421,9606,,GO:0010553|GO:0016481|GO:0034339,19098224,ID1,VDR,"Notably, SMRT mutants defective in the VDR interaction were also defective in the repression of endogenous VDR-target genes, indicating that the SMRT corepressor is directly involved in the VDR-mediated repression in vivo via an ID1-specific interaction with the VDR",0.08,PMID.dPMID19098224.s0.p14,7,3,SMRT|VDR|VDR|SMRT|VDR|ID1|VDR,ID1|SMRT|VDR,
1.2.8.0.1,3397,9606,GO:0016564,GO:0010621|GO:0016481|GO:0043433,4.1.5.0.1,7468,9606,,,16115125,ID-1,MMSET,"As high levels of ID-1 are associated with cancer, our findings indicate that MMSET promotes oncogenic transformation in t(4;14)+ MM patients by transcriptional activation of ID-1 expression",0.65,PMID.dPMID16115125.s0.p2,3,2,ID-1|MMSET|ID-1,ID-1|MMSET,
1.2.8.0.1,3397,9606,GO:0016564,GO:0010621|GO:0016481|GO:0043433,1.2.4.1.12,8553,9606,,GO:0006355,18556654,ID1,DEC1,"Interestingly, we found that DEC1, which was recently identified as a p53 target and mediates p53-dependent cell cycle arrest and senescence, is capable of inhibiting ID1 expression.",0.23,PMID.dPMID18556654.s5.p3,4,3,DEC1|p53|p53|ID1,DEC1|ID1|p53,
1.2.8.0.2,3398,9606,,GO:0016481|GO:0043433,1.2.8.0.1,3397,9606,GO:0016564,GO:0010621|GO:0016481|GO:0043433,18413820,Id2,Id,"CONCLUSION: Changed expression profiles of Id proteins may play important roles in malignant progression of SCLC, and the increased Id2 in cytoplasm is a novel prognostic factor to predict the patient outcomes.",0.41,PMID.dPMID18413820.s0.p0,2,2,Id|Id2,Id|Id2,
1.2.8.0.2,3398,9606,,GO:0016481|GO:0043433,1.2.8.0.1,3397,9606,GO:0016564,GO:0010621|GO:0016481|GO:0043433,11751402,Id2,Id1,"In a series of 34 cases of primary human colorectal adenocarcinoma, immunoreactivity for Id1, Id2, and Id3 was found to be significantly elevated in tumor compared with normal mucosa (P = 0.001 for Id1 and Id2; P = 0.002 for Id3).",0.04,PMID.dPMID11751402.s8.p6,6,3,Id1|Id2|Id3|Id1|Id2|Id3,Id1|Id2|Id3,
1.2.8.0.2,3398,9606,,GO:0016481|GO:0043433,1.2.8.0.3,3399,9606,GO:0016564,GO:0016481|GO:0043433,11751402,Id2,Id3,"In a series of 34 cases of primary human colorectal adenocarcinoma, immunoreactivity for Id1, Id2, and Id3 was found to be significantly elevated in tumor compared with normal mucosa (P = 0.001 for Id1 and Id2; P = 0.002 for Id3).",0.03,PMID.dPMID11751402.s8.p8,6,3,Id1|Id2|Id3|Id1|Id2|Id3,Id1|Id2|Id3,
1.2.8.0.2,3398,9606,,GO:0016481|GO:0043433,3.5.2.5.2,6689,9606,GO:0003702,GO:0006357,18792017,Id2,Spi-B,"Notably, Spi-B was unable to overcome the Id2 enforced block in pDC development and moreover Spi-B transduced pDC expressed reduced Id2 levels.",0.52,PMID.dPMID18792017.s3.p5,4,2,Spi-B|Id2|Spi-B|Id2,Id2|Spi-B,
1.2.8.0.2,3398,9606,,GO:0016481|GO:0043433,1.2.1.0.2,6925,9606,GO:0016566|GO:0016986,GO:0016481|GO:0045893|GO:0045944,15249128,Id2,E2-2,"Co-transfection of JEG-3 cells with E2-2 and Id2, and a luciferase reporter construct under the control of the human chorionic gonadotropin alpha-subunit promoter revealed that E2-2 had a negative effect on CGalpha-subunit transcription, which could be relieved by overexpression of Id2.",0.73,PMID.dPMID15249128.s2.p5,4,2,E2-2|Id2|E2-2|Id2,E2-2|Id2,
1.2.8.0.3,3399,9606,GO:0016564,GO:0016481|GO:0043433,1.2.8.0.1,3397,9606,GO:0016564,GO:0010621|GO:0016481|GO:0043433,17899540,ID3,ID1,"BMP-6 also induced phosphorylation of Smad1/5/8, followed by transcriptional increase in ID1-ID3 mRNA expression.",0.44,PMID.dPMID17899540.s2.p2,3,3,BMP-6|ID1|ID3,BMP-6|ID1|ID3,
1.2.8.0.3,3399,9606,GO:0016564,GO:0016481|GO:0043433,1.2.8.0.1,3397,9606,GO:0016564,GO:0010621|GO:0016481|GO:0043433,19515385,Id3,Id1,"In addition, Id1/Id3 double-knockdown caused decreased expression of integrins alpha3, alpha6, and beta1, and consequently reduced adhesion of tumor cells to laminin.",0.24,PMID.dPMID19515385.s2.p0,3,3,Id1|Id3|alpha6,alpha6|Id1|Id3,
1.2.8.0.3,3399,9606,GO:0016564,GO:0016481|GO:0043433,1.2.8.0.1,3397,9606,GO:0016564,GO:0010621|GO:0016481|GO:0043433,11751402,Id3,Id1,"In a series of 34 cases of primary human colorectal adenocarcinoma, immunoreactivity for Id1, Id2, and Id3 was found to be significantly elevated in tumor compared with normal mucosa (P = 0.001 for Id1 and Id2; P = 0.002 for Id3).",0.22,PMID.dPMID11751402.s8.p13,6,3,Id1|Id2|Id3|Id1|Id2|Id3,Id1|Id2|Id3,
1.2.8.0.3,3399,9606,GO:0016564,GO:0016481|GO:0043433,1.2.8.0.1,3397,9606,GO:0016564,GO:0010621|GO:0016481|GO:0043433,11751402,Id3,Id1,"In a series of 34 cases of primary human colorectal adenocarcinoma, immunoreactivity for Id1, Id2, and Id3 was found to be significantly elevated in tumor compared with normal mucosa (P = 0.001 for Id1 and Id2; P = 0.002 for Id3).",0.13,PMID.dPMID11751402.s8.p10,6,3,Id1|Id2|Id3|Id1|Id2|Id3,Id1|Id2|Id3,
1.2.8.0.3,3399,9606,GO:0016564,GO:0016481|GO:0043433,1.2.8.0.2,3398,9606,,GO:0016481|GO:0043433,11751402,Id3,Id2,"In a series of 34 cases of primary human colorectal adenocarcinoma, immunoreactivity for Id1, Id2, and Id3 was found to be significantly elevated in tumor compared with normal mucosa (P = 0.001 for Id1 and Id2; P = 0.002 for Id3).",0.06,PMID.dPMID11751402.s8.p11,6,3,Id1|Id2|Id3|Id1|Id2|Id3,Id1|Id2|Id3,
1.2.8.0.3,3399,9606,GO:0016564,GO:0016481|GO:0043433,1.2.8.0.2,3398,9606,,GO:0016481|GO:0043433,11751402,Id3,Id2,"Expression of Id1 and to a lesser extent of Id2 was correlated with mitotic index (P = 0.005 for Id1; P = 0.042 for Id2) in human adenocarcinomas, and expression of all three Id proteins was correlated with p53 immunoreactivity (a marker of mutational 'inactivation' of p53 function; P = 0.002 for Id1; P = 0.006 for Id2; P = 0.016 for Id3).",0.04,PMID.dPMID11751402.s6.p37,10,4,Id1|Id2|Id1|Id2|Id|p53|p53|Id1|Id2|Id3,Id|Id1|Id2|Id3|p53,
1.2.8.0.3,3399,9606,GO:0016564,GO:0016481|GO:0043433,1.2.8.0.2,3398,9606,,GO:0016481|GO:0043433,16449966,Id3,Id2,"We have shown that while Id2 is induced by UVB in primary keratinocytes, Id3 is upregulated only in immortalized cells.",0.02,PMID.dPMID16449966.s10.p0,2,2,Id2|Id3,Id2|Id3,
1.2.8.0.3,3399,9606,GO:0016564,GO:0016481|GO:0043433,3.1.4.5.1,5460,9606,,GO:0006355|GO:0010552|GO:0090308,19815608,ID3,POU5F1,POU5F1 expression positively correlated with ID1 and ID3 expression (P < 0.05) but not with NANOG or SOX2 expression.,0.04,PMID.dPMID19815608.s4.p1,5,5,POU5F1|ID1|ID3|NANOG|SOX2,ID1|ID3|NANOG|POU5F1|SOX2,
1.2.8.0.4,3400,9606,GO:0016564,GO:0006357|GO:0016481,3.3.2.1.1,1869,9606,,GO:0000122,19783986,ID4,E2F1,The protein complex mutant p53-E2F1 assembles on specific regions of the ID4 promoter and positively controls ID4 expression.,0.61,PMID.dPMID19783986.s3.p4,4,3,p53|E2F1|ID4|ID4,E2F1|ID4|p53,
1.2.8.0.4,3400,9606,GO:0016564,GO:0006357|GO:0016481,6.3.1.0.1,7157,9606,GO:0016563|GO:0016564|GO:0016566,GO:0000122|GO:0006355|GO:0010552|GO:0010553|GO:0045941|GO:0045944,19783986,ID4,p53,The protein complex mutant p53-E2F1 assembles on specific regions of the ID4 promoter and positively controls ID4 expression.,0.61,PMID.dPMID19783986.s3.p3,4,3,p53|E2F1|ID4|ID4,E2F1|ID4|p53,
6.1.4.1.1,3516,9606,,GO:0007221|GO:0045892,1.2.4.1.1,3280,9606,GO:0016564,GO:0000122,9570134,RBP-J,HES1,"Recent studies indicate that HES1 expression is also controlled by RBP-J, a mammalian homologue of Suppressor of Hairless [Su(H)], and Notch, a key membrane protein that may regulate lateral specification through RBP-J during neural development.",1.14,PMID.dPMID9570134.s1.p0,3,2,HES1|RBP-J|RBP-J,HES1|RBP-J,
6.1.4.1.1,3516,9606,,GO:0007221|GO:0045892,1.2.4.1.1,3280,9606,GO:0016564,GO:0000122,9570134,RBP-J,HES1,"Recent studies indicate that HES1 expression is also controlled by RBP-J, a mammalian homologue of Suppressor of Hairless [Su(H)], and Notch, a key membrane protein that may regulate lateral specification through RBP-J during neural development.",0.24,PMID.dPMID9570134.s1.p1,3,2,HES1|RBP-J|RBP-J,HES1|RBP-J,
6.1.4.1.1,3516,9606,,GO:0007221|GO:0045892,1.2.6.5.1,4609,9606,GO:0016563,GO:0006357|GO:0045941,17434929,CBF1,c-myc,"Furthermore, the N1IC also bound to the promoter of human c-myc oncogene, a YY1 target gene, to elevate c-myc expression via a CBF1-independent pathway.",0.48,PMID.dPMID17434929.s5.p2,3,2,c-myc|c-myc|CBF1,CBF1|c-myc,
6.1.4.1.1,3516,9606,,GO:0007221|GO:0045892,1.2.6.5.1,4609,9606,GO:0016563,GO:0006357|GO:0045941,18490439,CBF1,c-myc,The complex of N1IC and transcription factor YY1 binds to the human c-myc promoter to enhance c-myc expression in a CBF1-independent manner.,0.02,PMID.dPMID18490439.s8.p5,4,3,YY1|c-myc|c-myc|CBF1,CBF1|c-myc|YY1,
6.1.4.1.1,3516,9606,,GO:0007221|GO:0045892,6.3.1.0.1,7157,9606,GO:0016563|GO:0016564|GO:0016566,GO:0000122|GO:0006355|GO:0010552|GO:0010553|GO:0045941|GO:0045944,20446924,RBP-Jkappa,p53,"Our reports, here and previously published, show that repression of p53 by RBP-Jkappa and activation of p53 by C/EBPbeta through differential binding of these two factors indicates a type of co-operative regulation in p53 expression.",0.24,PMID.dPMID20446924.s1.p0,5,3,p53|RBP-Jkappa|p53|C/EBPbeta|p53,C/EBPbeta|p53|RBP-Jkappa,
6.1.4.1.1,3516,9606,,GO:0007221|GO:0045892,2.3.5.0.49,59269,9606,GO:0016563,GO:0045941,15367343,RBP-J,KBP1,Effect of KyoT2 binding protein KBP1 on RBP-J-mediated transcriptional activity  AIM: To investigate the physical interaction between KyoT2 and KyoT2-binding protein 1 (KBP1) and the effect of KBP1 on RBP-J-mediated transcriptional activity.,0.99,PMID.dPMID15367343.s3.p9,5,2,KBP1|RBP-J|KBP1|KBP1|RBP-J,KBP1|RBP-J,
6.1.4.1.1,3516,9606,,GO:0007221|GO:0045892,2.3.5.0.49,59269,9606,GO:0016563,GO:0045941,15367343,RBP-J,KBP1,Effect of KyoT2 binding protein KBP1 on RBP-J-mediated transcriptional activity  AIM: To investigate the physical interaction between KyoT2 and KyoT2-binding protein 1 (KBP1) and the effect of KBP1 on RBP-J-mediated transcriptional activity.,0.51,PMID.dPMID15367343.s3.p0,5,2,KBP1|RBP-J|KBP1|KBP1|RBP-J,KBP1|RBP-J,
2.2.3.0.1,3642,9606,,,1.2.3.4.1,4760,9606,GO:0003702,GO:0045944,12890672,IA-1,NeuroD1,"NeuroD1/E47 regulates the E-box element of a novel zinc finger transcription factor, IA-1, in developing nervous system.",0.17,PMID.dPMID12890672.s6.p0,2,2,NeuroD1|IA-1,IA-1|NeuroD1,
3.1.1.14.1,3651,9606,GO:0003702|GO:0003704,,3.3.1.15.1,2308,9606,GO:0003704|GO:0016563|GO:0016566,GO:0010553|GO:0045944|GO:0051090,16282329,PDX-1,Foxo1,"Furthermore, adenovirus-mediated Foxo1 overexpression reduced the nuclear expression of PDX-1, whereas repression of Foxo1 by Foxo1-specific small interfering RNA retained the nuclear expression of PDX-1 under oxidative stress conditions.",1.01,PMID.dPMID16282329.s1.p8,5,2,Foxo1|PDX-1|Foxo1|Foxo1|PDX-1,Foxo1|PDX-1,
3.1.1.14.1,3651,9606,GO:0003702|GO:0003704,,3.3.1.15.1,2308,9606,GO:0003704|GO:0016563|GO:0016566,GO:0010553|GO:0045944|GO:0051090,20353756,PDX-1,FoxO1,"On the contrary, the forkhead transcription factor FoxO1 inhibits PDX-1 gene transcription.",0.39,PMID.dPMID20353756.s8.p0,2,2,FoxO1|PDX-1,FoxO1|PDX-1,
3.1.1.14.1,3651,9606,GO:0003702|GO:0003704,,3.1.4.7.1,6927,9606,GO:0003702,GO:0010551|GO:0045893,17007882,PDX-1,Transcription factor,BACKGROUND: Transcription factor PDX-1 is expressed by human pancreatic and breast cancers.,0.45,PMID.dPMID17007882.s15.p0,2,2,Transcription factor|PDX-1,PDX-1|Transcription factor,<--
3.1.1.14.1,3651,9606,GO:0003702|GO:0003704,,3.1.2.14.1,7080,9606,GO:0016563,GO:0010552|GO:0045893|GO:0045944,19065104,PDX-1,TTF-1,"All rectal carcinoids were negative for CDX-2 and TTF-1; 2/12 were positive for PDX-1, and 1/12 for NESP-55.",0.10,PMID.dPMID19065104.s6.p2,3,3,CDX-2|TTF-1|PDX-1,CDX-2|PDX-1|TTF-1,
3.5.3.0.1,3659,9606,,,3.5.3.0.2,3660,9606,GO:0003702,GO:0000122|GO:0045449,9181476,IRF-1,IRF-2,"Two well-studied members of this family, IRF-1 and IRF-2, have antagonistic roles in interferon-beta gene regulation: IRF-1 activates this gene, and IRF-2 represses the activation by IRF-1, IRF-1 and IRF-2 have more recently been linked to growth control by displaying tumor suppressor and oncogenic activities, respectively.",0.76,PMID.dPMID9181476.s2.p9,7,2,IRF-1|IRF-2|IRF-1|IRF-2|IRF-1|IRF-1|IRF-2,IRF-1|IRF-2,
3.5.3.0.1,3659,9606,,,3.5.3.0.2,3660,9606,GO:0003702,GO:0000122|GO:0045449,7687740,IRF-1,IRF-2,"IRF-1 functions as a transcriptional activator, while IRF-2 represses IRF-1 function.",0.74,PMID.dPMID7687740.s7.p2,3,2,IRF-1|IRF-2|IRF-1,IRF-1|IRF-2,
3.5.3.0.1,3659,9606,,,3.5.3.0.2,3660,9606,GO:0003702,GO:0000122|GO:0045449,9540062,IRF-1,IRF-2,We also analyzed the effect of over-expressing IRF-2 on CAT reporter gene expression driven by mutant H4 promoters and assessed H4 transcriptional control in cells nullizygous for IRF-1 and IRF-2.,0.73,PMID.dPMID9540062.s5.p1,4,3,IRF-2|CAT|IRF-1|IRF-2,CAT|IRF-1|IRF-2,
