pmid,gene1,gene2,sentence,class,details
12788094,Sp1,E2F1,"Cotransfection assays showed that activation of dhfr transcription by expression of E2F1/DP1 requires the reiterated Sp1 elements, whereas activation by Sp1 was enhanced by the deletion of the E2F element.",TP,database
12843180,Ets1,AP-2alpha,"As the transcription factor Ets1 is abundant in trophoblast cells, these investigations strongly suggest that AP-2alpha gene expression in the placenta is enhanced by a cis-acting element at nucleotides -1279 to -1139 that contains a critical Ets1-binding site",TP,database
12934105,p53,p73,The fact that an ectopic expression of p73alphaR292H leads to both accumulation of p53 and stimulation of p53 target gene expression strongly suggests that p73alpha is able to induce activation of p53.,TP,database
12934105,p53,p73,"Using the adenoviral system, we report that an overexpression of either wt-p73alpha or one of the two transcriptional inactive mutants, deltaNp73alpha or p73alphaR292H, induces an accumulation of the endogenous wt-p53 expressed in the three transformed cell lines, SK-N-SH, MCF-7 and U-2OS, without stimulating the p53 gene transcription.",TP,database
12934105,p53,p73,"We thus conclude that p73alpha protein was able to both stabilize and activate wt-p53 protein, independent of the p73alpha transcriptional activity",TP,database
12944398,SOX10,MITF,"M-MITF promoter responsiveness to cAMP was found to depend upon SOX10, and reciprocally, SOX10 transactivation was dependent upon the CRE.",TP,database
12944917,p53,p73,"The DeltaNp73 promoter is induced by p53, resulting in negative feedback to control p53 activity.",TP,database
12959982,SF1,DAX1,DAX1 opposed SF1-activated transcription of many genes and abolished the GATA-6/SF1 ability to increase reporter activity.,TP,database
12969350,p53,p73,"Differential expressions of p63, p73 and p53 proteins in the carcinoma samples were: p63+/p73+/p53 + (n = 28; 70%); p63+/p73+/p53- (n = 4; 10%); p63+/p73-/p53- (n = 8; 20%), respectively; and p63+/p73+/p53- for normal mucosa (n = 10; 100%).",TP,database
12969350,p53,p63,"Differential expressions of p63, p73 and p53 proteins in the carcinoma samples were: p63+/p73+/p53 + (n = 28; 70%); p63+/p73+/p53- (n = 4; 10%); p63+/p73-/p53- (n = 8; 20%), respectively; and p63+/p73+/p53- for normal mucosa (n = 10; 100%).",TP,database
14513581,c-myc,p53,"The experimental study on telomerase activity and expression of p53 and c-myc genes in tongue cancer	OBJECTIVE: To study telomerase activity and expression of oncogenes c-myc and p53 in tongue cancer, analyse the interaction among them, and assess their possible correlations with tongue cancer clinicopathological features.",TP,database
14521756,HIF-1alpha,PPAR-alpha,"Conversely, the expressions of the mRNA and protein of PPAR-alpha were decreased after antisense oligonuclei of HIF-1alpha in group F, as compared with group E. CONCLUSIONS: The expressions of the mRNA and protein of PPAR-alpha and HIF-1alpha are increased by hypoxia, and PPAR-alpha may be regulated by HIF-1alpha",TP,database
14532990,c-Myc,p53,"In conclusion, these data suggest that p53 expression (e.g. p53 mutation) as well as c-Myc expression may have a role in regulation of telomerase activity in ovarian tumours",TP,database
14602923,E2F1,p73,DNA damage induces transcriptional activation of p73 by removing C-EBPalpha repression on E2F1.	p73 is a member of the p53 family often overexpressed in human cancer.,TP,database
14602923,p53,p73,DNA damage induces transcriptional activation of p73 by removing C-EBPalpha repression on E2F1.	p73 is a member of the p53 family often overexpressed in human cancer.,TP,database
14614448,p53,p73,Semiquantitative reverse transcription-PCR confirmed these results and further revealed that the influence of DeltaNp73alpha on the regulation of these genes differs from other p73 isoforms and p53.,TP,database
14701724,p53,p73,"Furthermore, we found that DeltaNp73beta is capable of inducing some p53 target genes, albeit to a lesser extent than does p73beta.",TP,database
15123650,SREBP-1,SHP,"Herein, we report that the human SHP promoter (hSHP) is activated by sterol regulatory element-binding protein-1 (SREBP-1), which regulates the expression of various genes involved in cholesterol and fatty acid synthesis.",TP,database
15249123,Sp1,p53,"We concluded that Sp1 activates the hGR gene promoter, at least in part, by acting on the first GC box in promoter 1C, while p53 suppresses the transactivation by Sp1.",TP,database
15265881,NF-kappa B,IRF-7,"In this study, we demonstrate that both LPS and HSV up-regulate the expression of IRF-7 in PDC, and that this enhancement of IRF-7 is dependent on NF-kappa B activation.",TP,database
15302882,Sp1,p53,Expression of p53 further enhanced the level of Vpr-Sp1-mediated transcription activation of p21 through the sequence spanning -84 to -74 and increased the DNA binding activity of Sp1 in the presence of Vpr.,TP,database
15492115,JunD,Fra-1,"Resveratrol reduced both activator protein-1 (AP-1) DNA binding and transcriptional activities, and supershift assay revealed that AP-1 composition was shifted from c-Jun/JunD/Fra-1 to JunD/Fra-1/Fra-2, with markedly increased JunD, Fra-1, and Fra-2 protein expression levels in the nucleus.",TP,database
15509581,Sp1,AP-1,"The ability of ligands to modulate transcription of AP-1- or Sp1-containing promoters was dependent on cell context, but the expression of AP-1 or Sp1 proteins was not necessarily related to transcriptional response.",TP,database
15548364,p53,p73,"Besides, p73 was shown to be activated by only a subset of signals that activate p53, such as gamma-irradiation and cisplatin, but not by other common genotoxic stress-inducing agents such as ultraviolet (UV) irradiation, although many of these signals are also capable of inducing p53-independent cell death.",TP,database
15598310,p53,p73,The p73 gene is a member of the p53 gene family and the structure and functions of p73 protein are similar to those of p53.,TP,database
15662020,RORalpha,PPARgamma,"In contrast, the synthetic PPARgamma ligand pioglitazone weakly induced RORalpha4 expression but did not affect RORalpha1 expression or TNF-alpha-induced gene expression.",TP,database
15677471,STAT3,Myc,"Reduction in Myc protein level results in defective recruitment of the CREB-binding protein, Cdk9, and RNA polymerase complexes, indicating that Myc is necessary for STAT3 transcription.",TP,database
15741235,p53,p73,"The fact that DeltaNp73alpha may either inhibit or stimulate wt-p53 transcriptional activity, depending on both the p53 target gene and the cellular context, was confirmed by real-time quantitative PCR.",TP,database
15811878,NFkappaB,p53,"We first observed striking similarities in global gene expression profiles in human prostate cancer cells LNCaP transduced with p53 inhibitory genetic element or treated with TNF, suggesting that p53 inhibits transcription of TNF-inducible genes that are largely regulated by NFkappaB.",TP,database
15814658,c-myc,p53,"EXPERIMENTAL DESIGN: Using two p53 mutant melanoma models stably expressing an inducible c-myc antisense RNA, we have investigated whether Myc protein down-regulation could render melanoma cells more susceptible to radiotherapy, reestablishing apoptotic p53-independent pathway.",TP,database
15829514,Sf1,Dax1,"Because Dax1 antagonizes Sf1-mediated transcription in vitro, we hypothesized that Dax1 deficiency would compensate for allelic loss of Sf1.",TP,database
15846087,p53,p73,"In contrast to the differences between p53 and GAL4-VP16, p63 and p73 both regulated transcription in vitro under similar conditions as did p53.",TP,database
15846087,p53,p63,"In contrast to the differences between p53 and GAL4-VP16, p63 and p73 both regulated transcription in vitro under similar conditions as did p53.",TP,database
15846104,p53,p63,"DeltaNp63alpha, a homologue of the tumor suppressor p53, acts as a transcriptional repressor with dominant negative effects towards p53.",TP,database
15849742,p53,p73,"TA-p73/p63 demonstrate p53-like properties including gene transactivation and cell death promotion, whereas DeltaN-p73/p63 lack these p53-like functions.",TP,database
15849742,p53,p63,"TA-p73/p63 demonstrate p53-like properties including gene transactivation and cell death promotion, whereas DeltaN-p73/p63 lack these p53-like functions.",TP,database
15893728,p53,p73,YAP imparts selectivity to p73 by promoting the activation of a subset of p53 and/or p73 target promoters.,TP,database
15944709,E2F1,c-Myc,"These findings expand the known classes of transcripts within the c-Myc target gene network, and reveal a mechanism through which c-Myc simultaneously activates E2F1 transcription and limits its translation, allowing a tightly controlled proliferative signal",TP,database
16177182,Gfi-1,Gfi-1B,"By further investigating the regulation of the Gfi-1B promoter, here we report that (i) Gfi-1B transcription is negatively regulated by its own gene product, (ii) GATA-1, instead of Gfi-1B, binds directly to the Gfi-1-like sites in the Gfi-1B promoter and (iii) Gfi-1B suppresses GATA-1-mediated stimulation of Gfi-1B promoter through their protein interaction.",TP,database
16205639,E2F1,p73,We show that forced expression of p73 or activation of endogenous p73 by E2F1 results in the downregulation of telomerase activity.,TP,database
16234237,p53,p73,"Our findings provide additional evidence that p73 mimics p53 in many aspects in cells lacking functional p53, thereby contributing to tumor surveillance.",TP,database
16322335,p53,p63,"Moreover, TAp63alpha antagonizes the effect of p53 on target genes, cell viability and foci formation, and p63 gene silencing by small interfering (si) RNA results in improved p53 activity.",TP,database
16410078,NFkappaB,IkappaBalpha,"Instead, tyrosine phosphorylation of IkappaBalpha was observed following VEGF treatment, suggesting NFkappaB activation was mediated by degradation-independent dissociation of IkappaBalpha from NFkappaB.",TP,database
16430884,NFkappaB,p53,"Over-expression of p53 suppressed the TAD-truncated p73alpha-mediated luciferase expression, suggesting that p53 interferes with the TAD-truncated p73alpha-mediated activation of NFkappaB.",TP,database
16430884,p53,p73,"Using p53 null cell lines, we examined whether or not DeltaNp73 can regulate gene expression in a p53-independent manner.",TP,database
16684540,NF-kappaB,p53,"These data suggest that NF-kappaB-dependency of the PAF-induced increase in VEGF expression is due to decreased p53 activity, which is reciprocally regulated by increased NF-kappaB activity.",TP,database
16835297,p53,p73,"Some of the compounds activate a p53 response by increasing p73 expression, and knockdown of transactivating isoforms of p73 by small interfering RNA reduces their induction of p53-responsive transcriptional activity.",TP,database
16849542,p53,p73,Silencing of p53 or p73 by RNA interference significantly suppresses p53 transcription under physiologic conditions or in response to cellular stress.,TP,database
16965670,p53,p73,The p53 family member p73 is a p53 homolog.,TP,database
17272513,Sp1,RARalpha,"Site mutations and gel shift assays have identified a Sp1 binding GC box motif at -113 to -108 nts upstream from the MRP3 translation start site, where RXRalpha:RARalpha specifically reduced Sp1 binding to this site.",TP,database
17297296,p53,p63,"We found that p63 is capable of activating gene expression through binding to specific cis-elements, RE1 and RE2, with the latter being more specific for p63 than for p53.",TP,database
17304243,p53,p73,"In contrast to TA-p73, deltaN-p73 is a negative regulator of p53-induced and p73-induced autophagy, but does not affect autophagy induced by amino-acid starvation.",TP,database
17308128,ERalpha,c-fos,"Here, we show that, in ERalpha-positive BG-1 ovarian cancer cells, both E2 and the GPR30-selective ligand G-1 induced c-fos expression and estrogen-responsive element (ERE)-independent activity of a c-fos reporter gene, whereas only E2 stimulated an ERE-responsive reporter gene, indicating that GPR30 signaling does not activate ERalpha-mediated transcription.",TP,database
17332760,p53,p63,"The relatives and evolutionary predecessors of p53 - p63 and p73 - share the tumour-suppressor activity of p53 to some extent, but also have essential functions in embryonic development and differentiation control.",TP,database
17637683,p53,p73,"p53, p63 and p73 are members of the p53 gene family involved in development, differentiation and response to cellular stress.",TP,database
17646707,SF-1,DAX-1,"We found that, upon transient cotransfection of human cells, nDAX-1 repressed the activity of tilapia SF-1 (nSF-1) but not that of human SF-1, although the physical interaction with human SF-1 was retained.",TP,database
17699779,ERalpha,p53,"Transcriptional derepression of Survivin by ERalpha is dependent on the p53-binding site on the Survivin promoter, consistent with our observation that p53 is necessary for ERalpha to access the promoters.",TP,database
17822668,p53,p73,"Overall, our results provide direct evidence that Egr-1 positively regulated p73 expression by binding to its promoter in vivo, consistent with Egr-1 and p73 being involved in p53-independent tumor suppression",TP,database
17909026,p53,p63,"p63 is a member of the p53 family and regulates crucial events in the formation of epithelial structures, but the role of p63 in tumor is unclear.",TP,database
17935121,p53,p63,"p63 can activate or repress transcription of p53 and p73 target genes, but also has unique transcriptional targets and, unlike other p53 family members, is required for normal development and differentiation of squamous epithelia.",TP,database
18039564,p53,p73,The TAp73 levels in stage III biopsies differed by 100-fold depending on the p53 status and overall survival appears to be significantly related to DeltaNp73 expression.,TP,database
18039926,CREB,MITF,Up-regulated expression of MITF was found to be mediated via both the mitogen-activated protein kinase-p90 ribosomal S6 kinase-cAMP response element-binding protein (CREB) and cAMP-protein kinase A-CREB pathways.,TP,database
18057099,Gli3,Gli,Wnt canonical pathway restricts graded Shh/Gli patterning activity through the regulation of Gli3 expression.,TP,database
18094076,c-Jun,p53,"In KB-3 cells, which have compromised p53 function, and in p53-null cells but not in p53 wild-type cells, vinblastine caused down-regulation of p21 expression concomitant with increased c-Jun expression, suggesting a role for c-Jun in negative regulation of the p21 promoter independent of p53.",TP,database
18234963,p53,p73,"Ectopic coexpression of both p53 and TAp73alpha in thyroid cancer cells resulted in increased transcription and tumor suppressor function compared with p53 or TAp73alpha alone, as well as in increased p53 protein levels.",TP,database
18234963,p53,p73,"Second, a TAp73alpha mutant (G264W), which is devoid of DNA binding capability, is still able to increase p53 protein levels by competing with p53 for Mdm2 protein binding.",TP,database
18234963,p53,p73,"Taken together, these results indicate that in thyroid cancer cells, TAp73alpha is able to increase p53 protein level and function by interfering with Mdm2-mediated p53 degradation.",TP,database
18292576,STAT3,c-Fos,"Because human fetus liver cells failed to express c-Fos/STAT3/HNF-1alpha showed no CRP production, transcriptional complex formation of c-Fos/STAT3/HNF-1alpha is essential for the synergistic induction of CRP gene expression by IL-1 plus IL-6.",TP,database
18292576,STAT3,c-Fos,"The augmentative effect of c-Fos required the presence of STAT3 and 3'-hepatocyte NF-1 (HNF-1) RE, which were eliminated by dominant negative STAT3 and HNF-1alpha, respectively.",TP,database
18315848,p53,p63,"In contrast, reverse mutations, where p63 and p73 were mutated by replacing the Phe238 and Ile255 by Tyr and Thr respectively (as in p53), showed reduced conformational sampling although the change for p63 was much smaller than that for p73.",TP,database
18418051,p53,p73,"Although TAp73 positively regulates an overlapping repertoire of genes regulated by p53, TAp73 has been observed to be paradoxically overexpressed in a number of tumor cell types arousing much interest in the post-translational regulation of TAp73 transcriptional activity.",TP,database
18418051,p53,p73,"p73-mediated transcriptional activity is negatively regulated by polo-like kinase 1.	Trans-activating (TA) p73 is a member of the p53 family of transcription factors and has been implicated in cell cycle regulation, apoptosis and developmental processes.",TP,database
18422165,c-fos,c-myc,Effects of intranasal budesonide on the expression of c-fos and c-myc in nasal polyps	OBJECTIVE: To investigate the effect of intranasal glucocorticoids treatment on the expression of c-fos and c-myc nasal polyps.,TP,database
18422165,c-fos,c-myc,"RESULT: The rate of c-fos expressing cases was 15% and the rate of c-myc expressing cases was 20% in nasal polyps from topical steroid treated patients, but in untreated patients, the rate of c-fos expressing cases was 80% and the rate of c-myc expressing cases was 85%.",TP,database
18440323,Sp1,E2F1,Cotransfection of the luciferase reporter with either Sp1- or E2F1-expression plasmid further verified the role of Sp1 as a transcriptional activator and E2F1 as a transcriptional repressor in the human MCAK promoter,TP,database
18448277,c-Jun,p53,"Inhibition of p53 by either its inhibitor pifithrin-alpha or p53 siRNA markedly increased B(a)P-induced the activation of c-Jun, Akt and ERK in this context.",TP,database
18626511,p53,p63,"In this report, we studied the effects of naturally occurring TAp63gamma mutants on the regulation of p53/p63 and p63 specific target genes.",TP,database
18626511,p53,p63,We observed significant differences among p63 mutants to regulate the p53/p63 and p63 specific target genes.,TP,database
19118900,PAX2,p53,"However, we have demonstrated that knock-down of PAX2 expression results in cell death independent of p53 status, thus suggesting that additional cell death pathways are negatively regulated by PAX2.",TP,database
19122331,ATF6,XBP1,"pXBP1(U), a negative regulator of the unfolded protein response activator pXBP1(S), targets ATF6 but not ATF4 in proteasome-mediated degradation.",TP,database
19122331,ATF6,XBP1,We conclude that pXBP1(U) functions as a negative regulator of the UPR-specific transcription factors ATF6 and pXBP1(S).,TP,database
19259613,STAT3,MYC,"Furthermore, IL-6 up-regulated the expression of MYC via STAT3 phosphorylation and MYC bound to the promoter region of the CEBPA gene followed by the down-regulation of CEBPA expression.",TP,database
19267405,p53,p63,p63 is a member of the p53 family and DeltaNp63alpha is the dominant-expressing isoform of p63 in basal layer of normal stratified epithelium and human squamous cell carcinoma (SCC) cells.,TP,database
19291793,p53,p73,"We found imatinib up-regulated phosphorylation of p38 mitogen-activated protein kinase (MAPK), checkpoint kinase 2 (chk2) and transactivation-competent (TA) p73; expression of pml and bax; formation of PML-nuclear body (NB); and co-localization of TAp73/PML-NB in p53-nonfunctioning K562 and p53(mutant) Meg-01 CML cells, but not in BCR-ABL(-) HL60 cells.",TP,database
19401348,PAX2,WT1,Additional analyses indicated that PAX2 repressor WT1 and cancer-linked hypomethylation are not important for transcriptional regulation of PAX2 in ccRCC.,TP,database
19401466,Sp1,RARalpha,"Further, RARalpha was shown to be recruited by Sp1 and to form a transcriptional regulation complex with Sp1 in the Sp1-binding sites of natural MAO B promoter.",TP,database
19422606,SOX10,MITF,"Our findings suggest that altered MITF function during melanomagenesis can be achieved by MITF amplification, MITF single base substitutions or by mutation of its regulator SOX10.",TP,database
19629135,E2F1,c-MYC,"Here, we show that the c-MYC-interacting proapoptotic tumor suppressor, BIN1, is transcriptionally activated by E2F1 and mediates E2F1-induced apoptosis in response to DNA damage.",TP,database
19777343,p53,p73,"DeltaNp73 was dramatically induced by p53 in a TAp73-dependent manner, and silencing p73 suppressed the transcriptional activation of alphaB-crystallin by p53.",TP,database
19835284,p53,p73,p73 also shares some common functions with p53 protein indicating that p73 gene is a p53-like tumor suppressor.,TP,database
19952113,p53,p73,"Chromatin immunoprecipitation showed that cisplatin removed DeltaNp73 from the PDGFRB promoter and recruited p53 and p73, leading to binding of histone deacetylase 4.",TP,database
20066163,AP-2,c-myc,Chromatin immunoprecipitation assays demonstrated that AP-2 proteins bound to a cluster of AP-2 binding sites located within a 2 kb upstream regulatory region of c-myc These results suggest that the negative regulation of AP-2 on c-MYC activity was achieved through binding of AP-2 protein to the c-myc gene.,TP,database
20160496,NFkappaB,p53,"Our further analysis of the effects of NFkappaB inhibition on p53 target gene expression revealed that while most target genes analysed where unaffected by blockade of NFkappaB, the p53-mediated induction of the pro-apoptotic gene p53AIP1 was significantly dependent on NFkappaB.",TP,database
20160496,NFkappaB,p53,p53-mediated induction of Noxa and p53AIP1 requires NFkappaB.,TP,database
20190818,c-myc,YB-1,"Importantly, we show that there is a strong correlation between the expression of PTB-1, YB-1 and c-myc in MM-derived cell lines, suggesting that by reducing either PTB-1 or YB-1 protein levels it is possible to decrease c-myc expression and inhibit cell proliferation of MM-derived cell lines",TP,database
20298673,p53,p73,"p73 and p63 regulate the expression of fibroblast growth factor receptor 3.	p53, p63 and p73 make a family of transcription factors that play a vital role in development and cancer.",TP,database
20298673,p53,p63,"p73 and p63 regulate the expression of fibroblast growth factor receptor 3.	p53, p63 and p73 make a family of transcription factors that play a vital role in development and cancer.",TP,database
20597068,PAX2,p53,"PAX2 (A)/p53 (N) SCOUTs were free of p53 mutations; however, 12 of 13 p53 signatures were PAX2 (A).",TP,database
20613985,p53,p63,"The DeltaNp63 isoforms are dominant-negative variants opposing the activities of p53, TAp63 and TAp73.",TP,database
7559631,p53,TBP,Our results suggest that at least TBP is a direct target for p53 TAD and that the binding strength of TAD to TBP (TFIID) is an important parameter controlling activity of p53 TAD.,TP,binding to regulatory DNA-region
9722567,TBP,FREAC-2,The target site for FREAC-2 on TBP was localized to the N-terminal repeat in the core domain of TBP.,TP,binding to regulatory DNA-region
9927512,E2A,Tal1,"In the Jurkat T cell line, originally derived from a patient with T-ALL, Tal1 is complexed with E2A proteins and the transcriptional activity of E2A is very low.",TP,binding to regulatory DNA-region
10734130,Max,c-Myc,"Further, FasL promoter activity in T cells is driven by overexpression of c-Myc and inhibited by expression of dominant-negative mutants of c-Myc and Max.",TP,binding to regulatory DNA-region
17132729,Smad4,c-myc,"Smad4 binding to the positive TBE1 c-myc element was reduced by TGF-beta, consistent with Smad4's inhibitory role on c-myc expression in response to TGF-beta.",TP,binding to regulatory DNA-region
17762884,Pitx1,p53,The predominant consensus element utilized by hPitx1 to stimulate p53 transcription was located within the first exon of the p53 gene.,TP,binding to regulatory DNA-region
1312668,HNF-4,COUP-TF,"HNF-4 activation is abolished by increasing amounts of ARP-1 or Ear3/COUP-TF, and repression by ARP-1 or Ear3/COUP-TF is alleviated by increasing amounts of HNF-4.",NN,cooperation/competition in transcription
1312668,HNF-4,Ear3,"HNF-4 activation is abolished by increasing amounts of ARP-1 or Ear3/COUP-TF, and repression by ARP-1 or Ear3/COUP-TF is alleviated by increasing amounts of HNF-4.",NN,cooperation/competition in transcription
1325459,Fos,Jun,The action of Fos and Jun on PEPCK gene transcription involved each of the Fos/Jun-binding sites and was modulated by additional transcriptional regulatory elements within the PEPCK promoter.,NN,cooperation/competition in transcription
1427600,NF-IL6,NF-kappa B,Synergism between transcription factors NF-IL6 and NF-kappa B in IL-6 gene regulation	NF-IL6 and NF-kappa B are nuclear proteins supposed to play an important role in the regulation of acute-phase protein synthesis and inflammatory response against infection and tissue injury as a host defence mechanism.,NN,cooperation/competition in transcription
1644290,Myc,Max,"We have investigated the common and unique properties among the Myc family, as well as the physiological role of Max in the regulation of Myc family function.",NN,cooperation/competition in transcription
1708774,c-fos,AP-1,"This AP-1-like element, when cloned into the tk promoter, responds to the AP-1 activity of c-jun/c-fos products in both CV-1 and F-9 cells.",NN,cooperation/competition in transcription
2194667,TFIID,Sp1,"In reconstituted reactions, Sp1 stimulates transcription at TATA-containing promoters in the presence of semipurified TFIID fractions from either human or Drosophila cells, but is unable to do so when these fractions are replaced by purified, cloned Drosophila or yeast TFIID.",NN,cooperation/competition in transcription
2498163,c-fos,c-jun,"Notably, c-fos and c-jun activation can be dissociated; whereas c-jun is coinduced with c-fos and jun-B after growth factor stimulation, membrane depolarization activates c-fos and jun-B without stimulating c-jun.",NN,cooperation/competition in transcription
2498646,c-fos,AP1,"Although recent reports have shown that fos protein binds to AP1-binding sites through an interaction with AP1 protein and have raised the speculation that fos protein may negatively regulate expression of the c-fos gene via this interaction, we found no role for the AP1 consensus homology in the downregulation of c-fos expression following induction by epidermal growth factor and TPA",NN,cooperation/competition in transcription
2511004,Fos,Jun,We conclude that in the Fos-Jun heterodimer the basic region of Fos contributes specific DNA-binding properties equivalent to those of Jun.,NN,cooperation/competition in transcription
7533060,C-FOS,C-JUN,"The expression of C-FOS, C-JUN and phosphotyrosine gene products in lung cancer	An immunohistochemical study on C-FOS, C-JUN and phosphotyrosine (P-Tyr) cancer gene products was performed.",NN,cooperation/competition in transcription
7559555,ERM,c-Jun,"The synergy between c-Jun and ERM may be attributed to the enhancing effect of c-Jun on the transcription activity of ERM, because c-Jun increased ERM transcription activity by more than 20-fold in an assay system using a variety of fusion proteins between a Gal4 DNA-binding domain and a portion of ERM.",NN,cooperation/competition in transcription
7576299,Fos,Jun,Jun was detected in 14 of 20 (70%) and no significant relationship was observed between the expression of Jun and Fos or p53.,NN,cooperation/competition in transcription
7721415,c-jun,fra-1,"In cardiac ventriculocytes, however, fra-1 effected a synergistic amplification of the c-jun response (a 2.5-fold increase over c-jun alone).",NN,cooperation/competition in transcription
7774103,c-Fos,c-Jun,"OBJECTIVE: To examine the relationship between the expression of c-Fos and c-Jun proteins and the METHODS: The expression of c-Fos and c-Jun proteins and the production of IL-1 beta in the PBMC of 11 patients with active RA was determine by Western blots and ELISA techniques, respectively.",NN,cooperation/competition in transcription
7927908,p53,WT1,"Co-expression of the wt1 and the PDGF-A chain genes was observed in 2 melanoma cell lines with mutated p53 but not in 2 melanoma cell lines with wild-type p53; this result is consistent with a previous report showing that, in the context of absent or mutated p53, WT1 acts as a transcriptional activator, whereas in the presence of wild-type p53 it acts as a repressor",NN,cooperation/competition in transcription
8003962,ETS1,p51,"p51 ETS1 is characterized by a fast initial binding and conversion to a stable complex, whereas p42 ETS1 exhibits a slow initial binding and conversion to a stable complex.",NN,cooperation/competition in transcription
8058069,WT1,Egr-1,"We have also shown in a cotransfection assay that Egr-1, an immediate early growth response gene, activates transcription of the TGF-beta 1 gene through the same response element and that WT1 represses both the basal and Egr-1-induced TGF-beta 1 promoter activity in monkey kidney CV-1 cells.",NN,cooperation/competition in transcription
8065335,c-Fos,TBP,"This inhibition (squelching) of c-Fos activity is relieved by the presence of excess TBP, indicating that TBP is a direct functional target of c-Fos.",NN,cooperation/competition in transcription
8100127,c-fos,c-jun,"Also a significant correlation between the c-fos and c-jun proteins and the expression of P-glycoprotein was found (c-fos p = 0.017, c-jun p = 0.036).",NN,cooperation/competition in transcription
8207232,NF-IL-6,RelA,"In addition, overexpression of the NF-kappa B inhibitor molecule, I kappa B, abolished the RelA- and RelA/NF-IL-6-dependent synergistic activation.",NN,cooperation/competition in transcription
8383624,c-Jun,JunB,"JunB differs from c-Jun in its DNA-binding and dimerization domains, and represses c-Jun by formation of inactive heterodimers.",NN,cooperation/competition in transcription
8404857,NF-kappa B,Bcl-3,(i) Bcl-3 preferentially targets p50 homodimers over NF-kappa B heterodimers since the homodimers are completely dissociated from kappa B sites at concentrations of Bcl-3 which do not affect NF-kappa B.,NN,cooperation/competition in transcription
8417337,Max,Myc,"The discovery of the specific cognate DNA-binding site for Myc and its specific heterodimerization partner, Max, enabled the use of direct experiments to elucidate how Myc functions in vivo and how this function is modulated by Max.",NN,cooperation/competition in transcription
8422459,c-fos,c-jun,The inhibition of c-fos and c-jun expression by IL-4 in LPS-treated cells was shown to be due to a lower transcription rate of the c-fos and c-jun genes.,NN,cooperation/competition in transcription
8497252,p53,TBP,We conclude that TBP binding is necessary for p53 transcriptional activation and that p53 sequences outside the TBP binding domain modulate the level of activation,NN,cooperation/competition in transcription
8601460,Fos,Jun,"Moreover, analysis of the effect of AP-1 proteins on the collagenase and TIMP-1 promoters in gastric carcinoma KKLS cells revealed that c-Fos combined with any of the Jun-related proteins failed to stimulate the TIMP-1 promoter, though collagenase promoter was effectively activated by any Fos/Jun-related protein heterocomplex.",NN,cooperation/competition in transcription
8810289,HNF4,COUP-TFI,"Additionally, COUP-TFI was shown to inhibit HNF4 stimulation of the CYP2D6 promoter in COS-7 cells, suggesting that COUP-TFI could attenuate the effect of HNF4 in HepG2 cells.",NN,cooperation/competition in transcription
8909793,c-fos,c-jun,"These signalling pathways, except that for bcl-2 pathway, appear to be mediated by multiple PTKs: p56lck is critical for the induction of the c-fos/c-jun genes, the activation of Syk PTKs results in the induction of the c-myc gene and Jak3 PTK is required for the induction of both c-fos and c-myc genes.",NN,cooperation/competition in transcription
8972186,YY1,YB-1,A yeast interaction trap screen using LexA-YY1 as a bait and a HeLa cell cDNA-acid patch fusion library identified YB-1 as a YY1-interacting protein.,NN,cooperation/competition in transcription
9067573,GATA-1,EVI1,"In addition, whereas EVI1 represses activation by the GATA-1 erythroid factor, MDS1/EVI1 does not, and is itself repressed by EVI1.",NN,cooperation/competition in transcription
9181476,IRF-1,IRF-2,"Two well-studied members of this family, IRF-1 and IRF-2, have antagonistic roles in interferon-beta gene regulation: IRF-1 activates this gene, and IRF-2 represses the activation by IRF-1, IRF-1 and IRF-2 have more recently been linked to growth control by displaying tumor suppressor and oncogenic activities, respectively.",NN,cooperation/competition in transcription
9257185,TBP,p53,"Our data suggest that p300/CBP and TBP but not the pocket proteins, pRb, p107, and pRb2/p130 are functional targets of E1A in transcriptional regulation and that p53 transactivation requires the function of the p300/TBP/TFIIB complex, thus delineating a new pathway by which E1A may exert its transforming activity",NN,cooperation/competition in transcription
9271374,SRF,ATF6,"More strikingly, an antisense ATF6 construct reduced serum induction of a c-fos reporter gene, suggesting that ATF6 is involved in activation of transcription by SRF.",NN,cooperation/competition in transcription
9472015,p53,HMG-1,"HMG-1 promotes the assembly of higher order p53 nucleoprotein structures, and these data, along with the fact that HMG-1 is capable of bending DNA, suggest that HMG-1 may activate p53 DNA binding by a novel mechanism involving a structural change in the target DNA",NN,cooperation/competition in transcription
9472015,p53,HMG-1,"Unexpectedly, HMG-1 also stimulates DNA binding by p53Delta30, a carboxy-terminally deleted form of the protein that is considered to be constitutively active, suggesting that HMG-1 stimulates p53 by a mechanism that is distinct from other known activators of p53.",NN,cooperation/competition in transcription
9523591,c-fos,jun,"On the other hand, preincubation with KN-62 attenuated the carbachol-induced increase in c-jun and junD expression by 70% but had no effect on c-fos, fosB, and junB mRNA levels.",NN,cooperation/competition in transcription
9681824,Fos,Jun,"Finally, we show that the formation of the previously described ternary complex Ergp55/Fos/jun is mediated by ETS domain and Jun protein, while the ternary complex Ergp49/Fos/Jun is mediated by Fos protein",NN,cooperation/competition in transcription
