pmid,gene1,gene2,sentence,class,details
15752709,WT1,c-Myb,"Furthermore, p300 and c-Myb synergistically activated the expression of WT1 gene.",TP,database
15811878,NFkappaB,p53,"We first observed striking similarities in global gene expression profiles in human prostate cancer cells LNCaP transduced with p53 inhibitory genetic element or treated with TNF, suggesting that p53 inhibits transcription of TNF-inducible genes that are largely regulated by NFkappaB.",TP,database
15814658,c-myc,p53,"EXPERIMENTAL DESIGN: Using two p53 mutant melanoma models stably expressing an inducible c-myc antisense RNA, we have investigated whether Myc protein down-regulation could render melanoma cells more susceptible to radiotherapy, reestablishing apoptotic p53-independent pathway.",TP,database
15829514,Sf1,Dax1,"Because Dax1 antagonizes Sf1-mediated transcription in vitro, we hypothesized that Dax1 deficiency would compensate for allelic loss of Sf1.",TP,database
15846087,p53,p73,"In contrast to the differences between p53 and GAL4-VP16, p63 and p73 both regulated transcription in vitro under similar conditions as did p53.",TP,database
15846087,p53,p63,"In contrast to the differences between p53 and GAL4-VP16, p63 and p73 both regulated transcription in vitro under similar conditions as did p53.",TP,database
15846104,p53,p63,"DeltaNp63alpha, a homologue of the tumor suppressor p53, acts as a transcriptional repressor with dominant negative effects towards p53.",TP,database
15849742,p53,p73,"TA-p73/p63 demonstrate p53-like properties including gene transactivation and cell death promotion, whereas DeltaN-p73/p63 lack these p53-like functions.",TP,database
15849742,p53,p63,"TA-p73/p63 demonstrate p53-like properties including gene transactivation and cell death promotion, whereas DeltaN-p73/p63 lack these p53-like functions.",TP,database
15893728,p53,p73,YAP imparts selectivity to p73 by promoting the activation of a subset of p53 and/or p73 target promoters.,TP,database
15944709,E2F1,c-Myc,c-Myc-regulated microRNAs modulate E2F1 expression.,TP,database
15944709,E2F1,c-Myc,"These findings expand the known classes of transcripts within the c-Myc target gene network, and reveal a mechanism through which c-Myc simultaneously activates E2F1 transcription and limits its translation, allowing a tightly controlled proliferative signal",TP,database
15988026,p53,p63,"Taken together, these data suggest a feedback loop for p63 regulation, analogous to the p53-MDM2 feedback loop",TP,database
16087678,p53,p73,"The p73 gene, a member of the p53 family, encodes several variants through differential splicing and use of alternative promoters.",TP,database
16112647,c-myc,p53,We demonstrated that p53-repression of eIF4E was regulated by c-myc.,TP,database
16177182,Gfi-1,Gfi-1B,"By further investigating the regulation of the Gfi-1B promoter, here we report that (i) Gfi-1B transcription is negatively regulated by its own gene product, (ii) GATA-1, instead of Gfi-1B, binds directly to the Gfi-1-like sites in the Gfi-1B promoter and (iii) Gfi-1B suppresses GATA-1-mediated stimulation of Gfi-1B promoter through their protein interaction.",TP,database
16205639,p53,p73,"We show that DeltaNp73 antagonizes the repressive effect of the proapoptotic p53 family members on hTERT expression and, in addition, induces hTERT expression in telomerase-negative cells by interfering with E2F-RB-mediated repression of the hTERT core promoter.",TP,database
16205639,E2F1,p73,We show that forced expression of p73 or activation of endogenous p73 by E2F1 results in the downregulation of telomerase activity.,TP,database
16234237,p53,p73,"Our findings provide additional evidence that p73 mimics p53 in many aspects in cells lacking functional p53, thereby contributing to tumor surveillance.",TP,database
16253247,HES-1,REST,"In this study, we hypothesized that REST expression is controlled by hairy and enhancer of split 1 (HES-1), a transcriptional repressor that plays an important role in brain and pancreas development.",TP,database
16289102,RARalpha,RARbeta,"Moreover, the ATRA-induced expression of RARbeta was also mediated by RARalpha.",TP,database
16322335,p53,p63,"Moreover, TAp63alpha antagonizes the effect of p53 on target genes, cell viability and foci formation, and p63 gene silencing by small interfering (si) RNA results in improved p53 activity.",TP,database
16410078,NFkappaB,IkappaBalpha,"Instead, tyrosine phosphorylation of IkappaBalpha was observed following VEGF treatment, suggesting NFkappaB activation was mediated by degradation-independent dissociation of IkappaBalpha from NFkappaB.",TP,database
16430884,NFkappaB,p53,"Over-expression of p53 suppressed the TAD-truncated p73alpha-mediated luciferase expression, suggesting that p53 interferes with the TAD-truncated p73alpha-mediated activation of NFkappaB.",TP,database
16430884,p53,p73,"Using p53 null cell lines, we examined whether or not DeltaNp73 can regulate gene expression in a p53-independent manner.",TP,database
16432227,Myc,p53,"Here we demonstrate that p53 induction in response to Myc overexpression requires the ataxia-telangiectasia mutated (ATM) kinase, a major regulator of the cellular response to DNA double-strand breaks.",TP,database
16445626,tumor suppressor p53,p63,The p63 is a homologue gene of the tumor suppressor p53.,TP,database
16455805,PXR,SHP,"On the other hand, SHP reduced PXR recruitment of HNF4alpha and SRC-1 to the CYP3A4 chromatin.",TP,database
16527552,c-Myc,p53,"Both Wortmannin and PD98059 elevated the level of p53 expression strikingly, however, only PD98059 suppressed the up-regulation trend of c-Myc expression induced by etoposide.",TP,database
16616891,p53,p63,This suggests that DeltaNp63alpha plays an anti-apoptotic role regardless of the p53 status.,TP,database
16684540,NF-kappaB,p53,"These data suggest that NF-kappaB-dependency of the PAF-induced increase in VEGF expression is due to decreased p53 activity, which is reciprocally regulated by increased NF-kappaB activity.",TP,database
16814250,p53,p73,"Taken together, our present results strongly suggest that p73-dependent induction of 14-3-3sigma plays an important role in the regulation of chemo-sensitivity of breast cancers bearing p53 mutation",TP,database
16835297,p53,p73,"Some of the compounds activate a p53 response by increasing p73 expression, and knockdown of transactivating isoforms of p73 by small interfering RNA reduces their induction of p53-responsive transcriptional activity.",TP,database
16849542,p53,p73,Silencing of p53 or p73 by RNA interference significantly suppresses p53 transcription under physiologic conditions or in response to cellular stress.,TP,database
16959611,NF-YA,p53,The recruitment of mutant p53 to the CCAAT sites is severely impaired upon abrogation of NF-YA expression.,TP,database
16965670,p53,p73,The p53 family member p73 is a p53 homolog.,TP,database
17211884,STAT1,c-MYC,"Using a cell line in which EBNA2 and c-myc can be regulated at will, we show that c-MYC negatively regulates STAT1, the central player linking the Type-I and Type-II interferon response.",TP,database
17242210,B-myb,c-Myb,"In addition, expression of c-Myb in HCT116 cells rescued cyclin B1 expression after B-myb expression was silenced with small interfering RNA.",TP,database
17272513,transcription factor Sp1,RARalpha,"In searching for additional regulatory elements in the human MRP3 promoter, we have now identified nuclear receptor retinoic X receptor-alpha:retinoic acid receptor-alpha (RXRalpha:RARalpha) as a repressor of MRP3 activation by transcription factor Sp1.",TP,database
17272513,Sp1,RARalpha,"Site mutations and gel shift assays have identified a Sp1 binding GC box motif at -113 to -108 nts upstream from the MRP3 translation start site, where RXRalpha:RARalpha specifically reduced Sp1 binding to this site.",TP,database
17297296,p53,p63,"We found that p63 is capable of activating gene expression through binding to specific cis-elements, RE1 and RE2, with the latter being more specific for p63 than for p53.",TP,database
17304243,p53,p73,"In contrast to TA-p73, deltaN-p73 is a negative regulator of p53-induced and p73-induced autophagy, but does not affect autophagy induced by amino-acid starvation.",TP,database
17308128,ERalpha,c-fos,"Here, we show that, in ERalpha-positive BG-1 ovarian cancer cells, both E2 and the GPR30-selective ligand G-1 induced c-fos expression and estrogen-responsive element (ERE)-independent activity of a c-fos reporter gene, whereas only E2 stimulated an ERE-responsive reporter gene, indicating that GPR30 signaling does not activate ERalpha-mediated transcription.",TP,database
17332760,p53,p63,"The relatives and evolutionary predecessors of p53 - p63 and p73 - share the tumour-suppressor activity of p53 to some extent, but also have essential functions in embryonic development and differentiation control.",TP,database
17363555,NFkappaB,p53,Analysis of human head and neck tumors and lung tumors reveals a close correlation between the presence of abundant mutant p53 proteins and the constitutive activation of NFkappaB.,TP,database
17477357,p53 tumor suppressor,p63,p63 is a member of a gene family also including the p53 tumor suppressor and p73.,TP,database
17613764,c-myc,p53,"All but one of MCL showed t(11:14) translocation and in 22/30 samples taken at diagnosis or first relapse, one or several cytogenetic changes were detected; 11 deletions of ATM, 13 p53 deletions, 8 numerical c-myc-aberrations and 6 delp16.",TP,database
17637683,p53,p73,"p53, p63 and p73 are members of the p53 gene family involved in development, differentiation and response to cellular stress.",TP,database
17646707,SF-1,DAX-1,"We found that, upon transient cotransfection of human cells, nDAX-1 repressed the activity of tilapia SF-1 (nSF-1) but not that of human SF-1, although the physical interaction with human SF-1 was retained.",TP,database
17688405,p53,p63,The p63 gene belongs to the p53 gene family and encodes for sequence-specific transcription factors.,TP,database
17699779,ERalpha,p53,"Transcriptional derepression of Survivin by ERalpha is dependent on the p53-binding site on the Survivin promoter, consistent with our observation that p53 is necessary for ERalpha to access the promoters.",TP,database
17784791,E2F1,myc,"""Myc'ed messages"": myc induces transcription of E2F1 while inhibiting its translation via a microRNA polycistron.",TP,database
17822668,p53,p73,"Overall, our results provide direct evidence that Egr-1 positively regulated p73 expression by binding to its promoter in vivo, consistent with Egr-1 and p73 being involved in p53-independent tumor suppression",TP,database
17822668,p53,p73,"Transcriptional regulation of the p73 gene, a member of the p53 family, by early growth response-1 (Egr-1).",TP,database
17909026,p53,p63,"p63 is a member of the p53 family and regulates crucial events in the formation of epithelial structures, but the role of p63 in tumor is unclear.",TP,database
17935121,p53,p63,"p63 can activate or repress transcription of p53 and p73 target genes, but also has unique transcriptional targets and, unlike other p53 family members, is required for normal development and differentiation of squamous epithelia.",TP,database
17952118,p53,p73,DeltaNp73alpha regulates MDR1 expression by inhibiting p53 function.,TP,database
17980704,E2F1,p73,"The results presented here suggested the cooperative transcriptional regulation of p73 by YY1 and E2F1, and might provide a new regulation mechanism by the YY1 network on tumorigenesis, differentiation and development",TP,database
18037962,p53,p63,"We showed that TAp63 isoforms are capable of inducing p53-responsive genes, inhibiting cell proliferation and promoting apoptosis.",TP,database
18039564,p53,p73,The TAp73 levels in stage III biopsies differed by 100-fold depending on the p53 status and overall survival appears to be significantly related to DeltaNp73 expression.,TP,database
18039926,CREB,MITF,Up-regulated expression of MITF was found to be mediated via both the mitogen-activated protein kinase-p90 ribosomal S6 kinase-cAMP response element-binding protein (CREB) and cAMP-protein kinase A-CREB pathways.,TP,database
18057099,Gli3,Gli,Wnt canonical pathway restricts graded Shh/Gli patterning activity through the regulation of Gli3 expression.,TP,database
18061571,Egr-1,Elk-1,Chromatin immunoprecipitation experiments revealed that Elk-1 binds in vivo to the 5'-upstream region of the Egr-1 gene in carbachol-stimulated neuroblastoma cells.,TP,database
18094076,c-Jun,p53,"In KB-3 cells, which have compromised p53 function, and in p53-null cells but not in p53 wild-type cells, vinblastine caused down-regulation of p21 expression concomitant with increased c-Jun expression, suggesting a role for c-Jun in negative regulation of the p21 promoter independent of p53.",TP,database
18234963,p53,p73,"Ectopic coexpression of both p53 and TAp73alpha in thyroid cancer cells resulted in increased transcription and tumor suppressor function compared with p53 or TAp73alpha alone, as well as in increased p53 protein levels.",TP,database
18234963,p53,p73,"Indeed, depletion of p73 by small interfering RNA in thyroid cancer cells resulted in a reduced transcriptional activity of p53.",TP,database
18234963,p53,p73,"Second, a TAp73alpha mutant (G264W), which is devoid of DNA binding capability, is still able to increase p53 protein levels by competing with p53 for Mdm2 protein binding.",TP,database
18234963,p53,p73,"Taken together, these results indicate that in thyroid cancer cells, TAp73alpha is able to increase p53 protein level and function by interfering with Mdm2-mediated p53 degradation.",TP,database
18234963,p53,p73,The enhancing effect of TAp73alpha on p53 activity is Mdm2 dependent because it is prevented by Mdm2 depletion by small interfering RNA.,TP,database
18292576,STAT3,c-Fos,"Because human fetus liver cells failed to express c-Fos/STAT3/HNF-1alpha showed no CRP production, transcriptional complex formation of c-Fos/STAT3/HNF-1alpha is essential for the synergistic induction of CRP gene expression by IL-1 plus IL-6.",TP,database
18292576,STAT3,c-Fos,"The augmentative effect of c-Fos required the presence of STAT3 and 3'-hepatocyte NF-1 (HNF-1) RE, which were eliminated by dominant negative STAT3 and HNF-1alpha, respectively.",TP,database
18296650,p53,p63,p73 and p63 are members of the p53 gene family and have been shown to play an important role in development and homeostasis mainly by regulating the transcription of a variety of genes.,TP,database
18315848,p53,p63,"In contrast, reverse mutations, where p63 and p73 were mutated by replacing the Phe238 and Ile255 by Tyr and Thr respectively (as in p53), showed reduced conformational sampling although the change for p63 was much smaller than that for p73.",TP,database
18332869,YY1,p53,"MDM2 is a key ubiquitin E3 ligase for p53 and its activity is critically regulated by a set of modulators, including ARF, p300, YY1 and recently by gankyrin, an oncoprotein frequently overexpressed in human heptocellular carcinomas.",TP,database
18345030,E2F1,Myc,A role for Myc in facilitating transcription activation by E2F1.,TP,database
18345030,E2F1,Myc,We now show that Myc is required to allow the interaction of the E2F1 protein with the E2F gene promoters.,TP,database
18391986,YY1,p53,Intact p53 binding sites on the EGFR promoter are not required for activation by YY1.,TP,database
18418051,p53,p73,"Although TAp73 positively regulates an overlapping repertoire of genes regulated by p53, TAp73 has been observed to be paradoxically overexpressed in a number of tumor cell types arousing much interest in the post-translational regulation of TAp73 transcriptional activity.",TP,database
18418051,p53,p73,"p73-mediated transcriptional activity is negatively regulated by polo-like kinase 1.	Trans-activating (TA) p73 is a member of the p53 family of transcription factors and has been implicated in cell cycle regulation, apoptosis and developmental processes.",TP,database
18422165,c-fos,c-myc,Effects of intranasal budesonide on the expression of c-fos and c-myc in nasal polyps	OBJECTIVE: To investigate the effect of intranasal glucocorticoids treatment on the expression of c-fos and c-myc nasal polyps.,TP,database
18422165,c-fos,c-myc,"RESULT: The rate of c-fos expressing cases was 15% and the rate of c-myc expressing cases was 20% in nasal polyps from topical steroid treated patients, but in untreated patients, the rate of c-fos expressing cases was 80% and the rate of c-myc expressing cases was 85%.",TP,database
18440323,Sp1,E2F1,Cotransfection of the luciferase reporter with either Sp1- or E2F1-expression plasmid further verified the role of Sp1 as a transcriptional activator and E2F1 as a transcriptional repressor in the human MCAK promoter,TP,database
18448277,c-Jun,p53,"Inhibition of p53 by either its inhibitor pifithrin-alpha or p53 siRNA markedly increased B(a)P-induced the activation of c-Jun, Akt and ERK in this context.",TP,database
18513187,Sp1,HNF4alpha,"Overexpression of HNF4alpha led to a dramatic repression of the promoter activity and, in contrast, the activity was markedly elevated by overexpression of Sp1.",TP,database
18566213,p53,p73,Pretreatment of resistant A2780 CIS cells with the histone deacetylase inhibitor trichostatin A overcomes apoptosis resistance to CDDP by restoring both p73 and Bax but not p53 expression.,TP,database
18579560,p53,p73,p73 was found to be upregulated by serum starvation and mediate PUMA induction through the p53-binding sites in the PUMA promoter.,TP,database
18615329,p53,p63,p63 is a p53 homologue and a marker expressed in replicating keratinocytes.,TP,database
18626511,p53,p63,"In this report, we studied the effects of naturally occurring TAp63gamma mutants on the regulation of p53/p63 and p63 specific target genes.",TP,database
18626511,p53,p63,We observed significant differences among p63 mutants to regulate the p53/p63 and p63 specific target genes.,TP,database
18765668,ERalpha,p53,Estrogen receptor (ER) beta or p53 attenuates ERalpha-mediated transcriptional activation on the BRCA2 promoter.,TP,database
18801697,p53,p73,Therapeutic prospects for p73 and p63: rising from the shadow of p53.,TP,database
18801697,p53,p63,Therapeutic prospects for p73 and p63: rising from the shadow of p53.,TP,database
19047897,p53,p63,MGA and carcinomas arising from MGA were typically negative for p63 and positive for S-100 and Ki-67 and occasionally positive for p53.,TP,database
19059241,C/EBPalpha,PPARgamma,"CDX1 enhanced the expression of PPARgamma gene, a master transcriptional regulator of intestinal differentiation, at the transcriptional level, via functional interaction with CCAAT/enhancer-binding protein alpha (C/EBPalpha).",TP,database
19103865,p53,p63,"BACKGROUND: p63 gene is a p53 homologue that encodes proteins with transactivation, DNA-binding and tetramerisation domains.",TP,database
19113914,CREB,SOX9,The action of SOX9 was enhanced by overexpressing CREB.,TP,database
19118900,PAX2,p53,"However, we have demonstrated that knock-down of PAX2 expression results in cell death independent of p53 status, thus suggesting that additional cell death pathways are negatively regulated by PAX2.",TP,database
19122331,ATF6,XBP1,"pXBP1(U), a negative regulator of the unfolded protein response activator pXBP1(S), targets ATF6 but not ATF4 in proteasome-mediated degradation.",TP,database
19122331,ATF6,XBP1,We conclude that pXBP1(U) functions as a negative regulator of the UPR-specific transcription factors ATF6 and pXBP1(S).,TP,database
19194497,ZEB1,p73,"Employing histological, tissue culture, and molecular biological read-outs, we show that this novel pro-survival response, initiated through the rapid induction of p63, is mediated ultimately by the transcriptional repression of a pro-apoptotic isoform of p73 by ZEB1.",TP,database
19202062,c-Myc,p53,"However, it is not clear whether microRNAs (miRNAs) play a role in the p53-mediated posttranscriptional regulation of c-Myc.",TP,database
19202062,c-Myc,p53,One mechanism of the p53-mediated c-Myc repression may involve transcriptional regulation.,TP,database
19202062,c-Myc,p53,p53 represses c-Myc through induction of the tumor suppressor miR-145.,TP,database
19202062,c-Myc,tumor suppressor p53,"The tumor suppressor p53 negatively regulates a number of genes, including the proto-oncogene c-Myc, in addition to activating many other genes.",TP,database
19259613,STAT3,MYC,"Furthermore, IL-6 up-regulated the expression of MYC via STAT3 phosphorylation and MYC bound to the promoter region of the CEBPA gene followed by the down-regulation of CEBPA expression.",TP,database
19267405,p53,p63,p63 is a member of the p53 family and DeltaNp63alpha is the dominant-expressing isoform of p63 in basal layer of normal stratified epithelium and human squamous cell carcinoma (SCC) cells.,TP,database
19272371,p53,p63,DeltaNp63 antagonizes p53 to regulate mesoderm induction in Xenopus laevis.,TP,database
19272371,p53,p63,"Furthermore, we show that mesodermal induction after down-regulation of DeltaNp63 is dependent on p53.",TP,database
19291793,p53,p73,"We found imatinib up-regulated phosphorylation of p38 mitogen-activated protein kinase (MAPK), checkpoint kinase 2 (chk2) and transactivation-competent (TA) p73; expression of pml and bax; formation of PML-nuclear body (NB); and co-localization of TAp73/PML-NB in p53-nonfunctioning K562 and p53(mutant) Meg-01 CML cells, but not in BCR-ABL(-) HL60 cells.",TP,database
19320777,c-Fos,TP53,KRAS and TP53 mutations are commonly involved in sarcomagenesis whereby KRAS subsequently activates c-Fos.,TP,database
19401348,PAX2,WT1,Additional analyses indicated that PAX2 repressor WT1 and cancer-linked hypomethylation are not important for transcriptional regulation of PAX2 in ccRCC.,TP,database
19401466,Sp1,RARalpha,"Further, RARalpha was shown to be recruited by Sp1 and to form a transcriptional regulation complex with Sp1 in the Sp1-binding sites of natural MAO B promoter.",TP,database
19411072,c-Myc,p53,p53 ablates c-Myc expression via several mechanisms at the transcriptional and posttranscriptional level.,TP,database
19422606,SOX10,MITF,"Our findings suggest that altered MITF function during melanomagenesis can be achieved by MITF amplification, MITF single base substitutions or by mutation of its regulator SOX10.",TP,database
19461509,p53,p63,"CD117 (c-kit) was positive in 6 of 8 cases (75%), p63 was positive in 7 of 8 cases (88%), p53 was positive in 7 of 8 cases (88%), ranging from <10% to 90%, CD5 was focally positive in 3 of 8 cases (38%), collagen type IV was positive in 4 of 8 cases (50%), and proliferative index, as estimated by Ki67, ranged from <1% to approximately 15%.",TP,database
19503094,ERalpha,p53,We also showed that activation of p53 decreased the transcriptional activity of ERalpha by elevating KLF4 expression.,TP,database
19570744,CREB,Nurr1,"5'-Deletion analysis, site-directed mutagenesis and luciferase reporter assay demonstrated that Nurr1 expression was induced by I-BOP in a PKA/CREB-dependent manner.",TP,database
19584293,c-Jun,p53,"Furthermore, induction of p53 by p38 was dependent on c-Jun down-regulation.",TP,database
19603422,E2F1,c-myc,PI3K signaling maintains c-myc expression to regulate transcription of E2F1 in pancreatic cancer cells.,TP,database
19603422,E2F1,c-myc,"Together, we demonstrate that PI3K-GSK3-dependent control of c-myc protein expression is connected to the transcription of the E2F1 gene in PDAC cells, leading to S-phase progression of the cell cycle.",TP,database
19629135,E2F1,c-MYC,"Here, we show that the c-MYC-interacting proapoptotic tumor suppressor, BIN1, is transcriptionally activated by E2F1 and mediates E2F1-induced apoptosis in response to DNA damage.",TP,database
19696787,MYC,p53,p53-independent upregulation of miR-34a during oncogene-induced senescence represses MYC.,TP,database
19777343,p53,p73,"DeltaNp73 was dramatically induced by p53 in a TAp73-dependent manner, and silencing p73 suppressed the transcriptional activation of alphaB-crystallin by p53.",TP,database
19806017,E2F1,Myc,Myc regulates entry into S phase by stimulating glucose and glutamine metabolism and mitochondrial biogenesis that are coupled to the regulation of E2F1 expression.,TP,database
19829080,p53,p63,"p63 is a member of the p53 family involved in skin and limb development, as well as in the homeostasis of mature epidermis.",TP,database
19835284,p53,p73,p73 also shares some common functions with p53 protein indicating that p73 gene is a p53-like tumor suppressor.,TP,database
19861536,p53,p73,"On the contrary, when the cells are arrested in G(0)-G(1), p73 detaches from the REs and it is replaced by p53, which represses the expression of these genes.",TP,database
19912441,Sp1,Myc,E-boxes for Myc/Mad/Max binding showed a higher activity than GC-boxes for Sp1.,TP,database
19952113,p53,p73,"Chromatin immunoprecipitation showed that cisplatin removed DeltaNp73 from the PDGFRB promoter and recruited p53 and p73, leading to binding of histone deacetylase 4.",TP,database
20015865,NFkappaB,p53,"Gene expression profile in a glioma cell line resistant to cell death induced by the chimeric tumor suppressor-1 (CTS-1), a dominant-positive variant of p53--the role of NFkappaB.",TP,database
20066163,AP-2,c-myc,Chromatin immunoprecipitation assays demonstrated that AP-2 proteins bound to a cluster of AP-2 binding sites located within a 2 kb upstream regulatory region of c-myc These results suggest that the negative regulation of AP-2 on c-MYC activity was achieved through binding of AP-2 protein to the c-myc gene.,TP,database
20160496,NFkappaB,p53,"Our further analysis of the effects of NFkappaB inhibition on p53 target gene expression revealed that while most target genes analysed where unaffected by blockade of NFkappaB, the p53-mediated induction of the pro-apoptotic gene p53AIP1 was significantly dependent on NFkappaB.",TP,database
20160496,NFkappaB,p53,p53-mediated induction of Noxa and p53AIP1 requires NFkappaB.,TP,database
20160513,p53,p73,The p63 and p73 proteins activate the transcription of a number of p53 target genes.,TP,database
20160513,p53,p63,The p63 and p73 proteins activate the transcription of a number of p53 target genes.,TP,database
20190818,c-myc,YB-1,"Importantly, we show that there is a strong correlation between the expression of PTB-1, YB-1 and c-myc in MM-derived cell lines, suggesting that by reducing either PTB-1 or YB-1 protein levels it is possible to decrease c-myc expression and inhibit cell proliferation of MM-derived cell lines",TP,database
20298673,p53,p73,"p73 and p63 regulate the expression of fibroblast growth factor receptor 3.	p53, p63 and p73 make a family of transcription factors that play a vital role in development and cancer.",TP,database
20298673,p53,p63,"p73 and p63 regulate the expression of fibroblast growth factor receptor 3.	p53, p63 and p73 make a family of transcription factors that play a vital role in development and cancer.",TP,database
20587660,c-Myc,p53,"These results suggest that ascofuranone upregulates p21(WAF1/CIP1) through p53-independent suppression of c-Myc expression, leading to cytostatic G(1) arrest.",TP,database
20597068,PAX2,p53,"PAX2 (A)/p53 (N) SCOUTs were free of p53 mutations; however, 12 of 13 p53 signatures were PAX2 (A).",TP,database
20613985,p53,p63,BACKGROUND: p63 is a member of the p53 transcription factor family.,TP,database
20613985,p53,p63,"The DeltaNp63 isoforms are dominant-negative variants opposing the activities of p53, TAp63 and TAp73.",TP,database
20663147,p53,p63,DeltaNp63 transcriptionally regulates ATM to control p53 Serine-15 phosphorylation.,TP,database
7559631,p53,TBP,Our results suggest that at least TBP is a direct target for p53 TAD and that the binding strength of TAD to TBP (TFIID) is an important parameter controlling activity of p53 TAD.,TP,binding to regulatory DNA-region
7758976,c-Jun,Id2A,"Sequences of the 5'-flanking region of the human helix-loop-helix protein-encoding Id2A gene, and promoter activity regulated by serum and c-Jun/AP-1.",TP,binding to regulatory DNA-region
7880838,c-myc,TBP,"Since TBP binds in the minor groove, MBP-1 might inhibit c-myc transcription by preventing the formation of a functional preinitiation complex.",TP,binding to regulatory DNA-region
9722567,TBP,FREAC-2,The target site for FREAC-2 on TBP was localized to the N-terminal repeat in the core domain of TBP.,TP,binding to regulatory DNA-region
9927512,E2A,Tal1,"In the Jurkat T cell line, originally derived from a patient with T-ALL, Tal1 is complexed with E2A proteins and the transcriptional activity of E2A is very low.",TP,binding to regulatory DNA-region
10734130,Max,c-Myc,"Further, FasL promoter activity in T cells is driven by overexpression of c-Myc and inhibited by expression of dominant-negative mutants of c-Myc and Max.",TP,binding to regulatory DNA-region
11250656,c-myc,HOXB4,HOXB4 binds to the c-my c gene at sites involved in blocking c-myc transcription elongation.,TP,binding to regulatory DNA-region
11873516,NF-kappa B,c-Myc,"For example, WR-1065 treatment activates binding of the redox-sensitive transcription factor NF-kappa B to DNA and affects expression of a number of genes, including thymidine kinase, c-myc, and manganese superoxide dismutase.",TP,binding to regulatory DNA-region
17132729,Smad4,c-myc,"Smad4 binding to the positive TBE1 c-myc element was reduced by TGF-beta, consistent with Smad4's inhibitory role on c-myc expression in response to TGF-beta.",TP,binding to regulatory DNA-region
17409199,GLI1,SOX9,"In silico studies identify a putative binding site within SOX9cre1 for GLI1, a downstream mediator of sonic hedgehog (SHH).",TP,binding to regulatory DNA-region
17762884,Pitx1,p53,The predominant consensus element utilized by hPitx1 to stimulate p53 transcription was located within the first exon of the p53 gene.,TP,binding to regulatory DNA-region
18407260,Hoxd13,Hand2,"We found that Hoxd13 binds invivo, in developing limbs, the loci of Hand2, a gene crucial to limb AP axis patterning, of Meis1 and Meis2, involved in PD patterning, of the Sfrp1, Barx1, and Fbn1 genes, involved in skeletogenesis, and of the Dach1, Bmp2, Bmp4, andEmx2 genes.",TP,binding to regulatory DNA-region
18604866,SP1,PRDM1,"Transcription of PRDM1, the master regulator for plasma cell differentiation, depends on an SP1/SP3/EGR-1 GC-box.",TP,binding to regulatory DNA-region
18604866,SP3,PRDM1,"Transcription of PRDM1, the master regulator for plasma cell differentiation, depends on an SP1/SP3/EGR-1 GC-box.",TP,binding to regulatory DNA-region
19015525,LRH-1,Dax-1,"Here we report the structure of Dax-1 bound to one of its targets, liver receptor homolog 1 (LRH-1).",TP,binding to regulatory DNA-region
19623543,Myc,RARbeta,A DNA methylation inhibitor 5-aza-2'-deoxycytidine reversed the epigenetic alteration effect of Myc on both RARbeta and PDLIM4.,TP,binding to regulatory DNA-region
19623543,Myc,RARbeta,"METHODS: In this study, a benign prostate epithelial cell line RWPE1 was used as a model to study the epigenetic regulation of Myc on the RARbeta and PDLIM4 promoters.",TP,binding to regulatory DNA-region
1312668,HNF-4,COUP-TF,"HNF-4 activation is abolished by increasing amounts of ARP-1 or Ear3/COUP-TF, and repression by ARP-1 or Ear3/COUP-TF is alleviated by increasing amounts of HNF-4.",NN,cooperation/competition in transcription
1312668,HNF-4,Ear3,"HNF-4 activation is abolished by increasing amounts of ARP-1 or Ear3/COUP-TF, and repression by ARP-1 or Ear3/COUP-TF is alleviated by increasing amounts of HNF-4.",NN,cooperation/competition in transcription
1325459,Fos,Jun,The action of Fos and Jun on PEPCK gene transcription involved each of the Fos/Jun-binding sites and was modulated by additional transcriptional regulatory elements within the PEPCK promoter.,NN,cooperation/competition in transcription
1427600,NF-IL6,NF-kappa B,Synergism between transcription factors NF-IL6 and NF-kappa B in IL-6 gene regulation	NF-IL6 and NF-kappa B are nuclear proteins supposed to play an important role in the regulation of acute-phase protein synthesis and inflammatory response against infection and tissue injury as a host defence mechanism.,NN,cooperation/competition in transcription
1545132,c-fos,AP-1,The increase in AP-1-binding activity was accompanied by the marked stimulation of the transcription of c-fos but not that of c-jun.,NN,cooperation/competition in transcription
1644290,Myc,Max,"We have investigated the common and unique properties among the Myc family, as well as the physiological role of Max in the regulation of Myc family function.",NN,cooperation/competition in transcription
1646392,E2A,myogenin,"Although myogenin alone binds DNA inefficiently, in the presence of the widely expressed HLH proteins E12 and E47 (encoded by the E2A gene), it forms heterooligomers that bind with high affinity to a DNA sequence known as a kappa E-2 site.",NN,cooperation/competition in transcription
1646392,E2A,myogenin,Inefficient homooligomerization contributes to the dependence of myogenin on E2A products for efficient DNA binding.,NN,cooperation/competition in transcription
1654597,EGR-1,WT1,"In transient transfection assays, the WT1 protein functioned as a repressor of transcription when bound to the EGR-1 site.",NN,cooperation/competition in transcription
1708774,c-fos,AP-1,A 23-base pair DNA element containing the overlapping glucocorticoid-responsive element and AP-1 sites can be positively regulated by glucocorticoid receptor in the absence of c-jun/c-fos products.,NN,cooperation/competition in transcription
1708774,c-fos,c-jun,A 23-base pair DNA element containing the overlapping glucocorticoid-responsive element and AP-1 sites can be positively regulated by glucocorticoid receptor in the absence of c-jun/c-fos products.,NN,cooperation/competition in transcription
